# Effects added to the continuous datasets 
n	feature_a_id	feature_b_id	correlation
1	proteomics_1	proteomics_3	0.19232248450834832
2	proteomics_1	proteomics_4	-0.17102432997604786
3	proteomics_2	metagenomics_2	0.9678449600904584
4	proteomics_2	metagenomics_5	-0.4694128495430283
5	proteomics_2	metagenomics_6	-0.3980549145335736
6	proteomics_2	metagenomics_9	-0.020677348896329308
7	proteomics_3	proteomics_1	0.19232248450834832
8	proteomics_3	proteomics_4	0.020183697500206196
9	proteomics_3	metagenomics_1	-0.22140430554170087
10	proteomics_3	metagenomics_3	-0.029329818030087856
11	proteomics_3	metagenomics_7	-0.026549226829213138
12	proteomics_4	proteomics_1	-0.17102432997604786
13	proteomics_4	proteomics_3	0.020183697500206196
14	proteomics_4	proteomics_5	0.546919564106517
15	proteomics_4	metagenomics_2	-0.06546685343798683
16	proteomics_4	metagenomics_3	-0.1424898545625763
17	proteomics_4	metagenomics_4	0.0224875432829176
18	proteomics_4	metagenomics_8	0.04734432870228898
19	proteomics_4	metagenomics_9	0.563570123836187
20	proteomics_4	metagenomics_10	-0.029174658744437146
21	proteomics_5	proteomics_4	0.546919564106517
22	proteomics_5	metagenomics_5	-0.11828814987946921
23	proteomics_5	metagenomics_6	-0.10631836167847135
24	proteomics_5	metagenomics_9	0.9779404417199714
25	metagenomics_1	proteomics_3	-0.22140430554170087
26	metagenomics_1	metagenomics_4	0.9724101215984172
27	metagenomics_1	metagenomics_5	-0.39015363682064674
28	metagenomics_1	metagenomics_8	0.940593795799977
29	metagenomics_1	metagenomics_10	-0.9429121829871854
30	metagenomics_2	proteomics_2	0.9678449600904584
31	metagenomics_2	proteomics_4	-0.06546685343798683
32	metagenomics_2	metagenomics_5	-0.45140477302040083
33	metagenomics_2	metagenomics_6	-0.38241695962896616
34	metagenomics_2	metagenomics_8	-0.04716136507706535
35	metagenomics_2	metagenomics_10	0.02038125827492425
36	metagenomics_3	proteomics_3	-0.029329818030087856
37	metagenomics_3	proteomics_4	-0.1424898545625763
38	metagenomics_3	metagenomics_5	-0.18834057313718924
39	metagenomics_3	metagenomics_6	-0.5667885676546154
40	metagenomics_3	metagenomics_7	0.9774388860350721
41	metagenomics_4	proteomics_4	0.0224875432829176
42	metagenomics_4	metagenomics_1	0.9724101215984172
43	metagenomics_4	metagenomics_5	-0.4009812062344886
44	metagenomics_4	metagenomics_8	0.9680718181578802
45	metagenomics_4	metagenomics_10	-0.9695983076297123
46	metagenomics_5	proteomics_2	-0.4694128495430283
47	metagenomics_5	proteomics_5	-0.11828814987946921
48	metagenomics_5	metagenomics_1	-0.39015363682064674
49	metagenomics_5	metagenomics_2	-0.45140477302040083
50	metagenomics_5	metagenomics_3	-0.18834057313718924
51	metagenomics_5	metagenomics_4	-0.4009812062344886
52	metagenomics_5	metagenomics_6	0.7072734077538195
53	metagenomics_5	metagenomics_7	-0.1928438970260574
54	metagenomics_5	metagenomics_8	-0.3874080905327949
55	metagenomics_5	metagenomics_9	0.02285764729024696
56	metagenomics_5	metagenomics_10	0.38602025278240604
57	metagenomics_6	proteomics_2	-0.3980549145335736
58	metagenomics_6	proteomics_5	-0.10631836167847135
59	metagenomics_6	metagenomics_2	-0.38241695962896616
60	metagenomics_6	metagenomics_3	-0.5667885676546154
61	metagenomics_6	metagenomics_5	0.7072734077538195
62	metagenomics_6	metagenomics_7	-0.5835060572222073
63	metagenomics_6	metagenomics_9	0.020878645877451914
64	metagenomics_6	metagenomics_10	-0.08181624116046549
65	metagenomics_7	proteomics_3	-0.026549226829213138
66	metagenomics_7	metagenomics_3	0.9774388860350721
67	metagenomics_7	metagenomics_5	-0.1928438970260574
68	metagenomics_7	metagenomics_6	-0.5835060572222073
69	metagenomics_8	proteomics_4	0.04734432870228898
70	metagenomics_8	metagenomics_1	0.940593795799977
71	metagenomics_8	metagenomics_2	-0.04716136507706535
72	metagenomics_8	metagenomics_4	0.9680718181578802
73	metagenomics_8	metagenomics_5	-0.3874080905327949
74	metagenomics_8	metagenomics_10	-0.9387799299166839
75	metagenomics_9	proteomics_2	-0.020677348896329308
76	metagenomics_9	proteomics_4	0.563570123836187
77	metagenomics_9	proteomics_5	0.9779404417199714
78	metagenomics_9	metagenomics_5	0.02285764729024696
79	metagenomics_9	metagenomics_6	0.020878645877451914
80	metagenomics_10	proteomics_4	-0.029174658744437146
81	metagenomics_10	metagenomics_1	-0.9429121829871854
82	metagenomics_10	metagenomics_2	0.02038125827492425
83	metagenomics_10	metagenomics_4	-0.9695983076297123
84	metagenomics_10	metagenomics_5	0.38602025278240604
85	metagenomics_10	metagenomics_6	-0.08181624116046549
86	metagenomics_10	metagenomics_8	-0.9387799299166839
