ID	untargeted_metabolomics_1	untargeted_metabolomics_2	untargeted_metabolomics_3	untargeted_metabolomics_4	untargeted_metabolomics_5	untargeted_metabolomics_6	untargeted_metabolomics_7	untargeted_metabolomics_8	untargeted_metabolomics_9	untargeted_metabolomics_10	untargeted_metabolomics_11	untargeted_metabolomics_12	untargeted_metabolomics_13	untargeted_metabolomics_14	untargeted_metabolomics_15	untargeted_metabolomics_16	untargeted_metabolomics_17	untargeted_metabolomics_18	untargeted_metabolomics_19	untargeted_metabolomics_20	untargeted_metabolomics_21	untargeted_metabolomics_22	untargeted_metabolomics_23	untargeted_metabolomics_24	untargeted_metabolomics_25	untargeted_metabolomics_26	untargeted_metabolomics_27	untargeted_metabolomics_28	untargeted_metabolomics_29	untargeted_metabolomics_30	untargeted_metabolomics_31	untargeted_metabolomics_32	untargeted_metabolomics_33	untargeted_metabolomics_34	untargeted_metabolomics_35	untargeted_metabolomics_36	untargeted_metabolomics_37	untargeted_metabolomics_38	untargeted_metabolomics_39	untargeted_metabolomics_40	untargeted_metabolomics_41	untargeted_metabolomics_42	untargeted_metabolomics_43	untargeted_metabolomics_44	untargeted_metabolomics_45	untargeted_metabolomics_46	untargeted_metabolomics_47	untargeted_metabolomics_48	untargeted_metabolomics_49	untargeted_metabolomics_50	untargeted_metabolomics_51	untargeted_metabolomics_52	untargeted_metabolomics_53	untargeted_metabolomics_54	untargeted_metabolomics_55	untargeted_metabolomics_56	untargeted_metabolomics_57	untargeted_metabolomics_58	untargeted_metabolomics_59	untargeted_metabolomics_60	untargeted_metabolomics_61	untargeted_metabolomics_62	untargeted_metabolomics_63	untargeted_metabolomics_64	untargeted_metabolomics_65	untargeted_metabolomics_66	untargeted_metabolomics_67	untargeted_metabolomics_68	untargeted_metabolomics_69	untargeted_metabolomics_70	untargeted_metabolomics_71	untargeted_metabolomics_72	untargeted_metabolomics_73	untargeted_metabolomics_74	untargeted_metabolomics_75	untargeted_metabolomics_76	untargeted_metabolomics_77	untargeted_metabolomics_78	untargeted_metabolomics_79	untargeted_metabolomics_80	untargeted_metabolomics_81	untargeted_metabolomics_82	untargeted_metabolomics_83	untargeted_metabolomics_84	untargeted_metabolomics_85	untargeted_metabolomics_86	untargeted_metabolomics_87	untargeted_metabolomics_88	untargeted_metabolomics_89	untargeted_metabolomics_90	untargeted_metabolomics_91	untargeted_metabolomics_92	untargeted_metabolomics_93	untargeted_metabolomics_94	untargeted_metabolomics_95	untargeted_metabolomics_96	untargeted_metabolomics_97	untargeted_metabolomics_98	untargeted_metabolomics_99	untargeted_metabolomics_100	untargeted_metabolomics_101	untargeted_metabolomics_102	untargeted_metabolomics_103	untargeted_metabolomics_104	untargeted_metabolomics_105	untargeted_metabolomics_106	untargeted_metabolomics_107	untargeted_metabolomics_108	untargeted_metabolomics_109	untargeted_metabolomics_110	untargeted_metabolomics_111	untargeted_metabolomics_112	untargeted_metabolomics_113	untargeted_metabolomics_114	untargeted_metabolomics_115	untargeted_metabolomics_116	untargeted_metabolomics_117	untargeted_metabolomics_118	untargeted_metabolomics_119	untargeted_metabolomics_120	untargeted_metabolomics_121	untargeted_metabolomics_122	untargeted_metabolomics_123	untargeted_metabolomics_124	untargeted_metabolomics_125	untargeted_metabolomics_126	untargeted_metabolomics_127	untargeted_metabolomics_128	untargeted_metabolomics_129	untargeted_metabolomics_130	untargeted_metabolomics_131	untargeted_metabolomics_132	untargeted_metabolomics_133	untargeted_metabolomics_134	untargeted_metabolomics_135	untargeted_metabolomics_136	untargeted_metabolomics_137	untargeted_metabolomics_138	untargeted_metabolomics_139	untargeted_metabolomics_140	untargeted_metabolomics_141	untargeted_metabolomics_142	untargeted_metabolomics_143	untargeted_metabolomics_144	untargeted_metabolomics_145	untargeted_metabolomics_146	untargeted_metabolomics_147	untargeted_metabolomics_148	untargeted_metabolomics_149	untargeted_metabolomics_150	untargeted_metabolomics_151	untargeted_metabolomics_152	untargeted_metabolomics_153	untargeted_metabolomics_154	untargeted_metabolomics_155	untargeted_metabolomics_156	untargeted_metabolomics_157	untargeted_metabolomics_158	untargeted_metabolomics_159	untargeted_metabolomics_160	untargeted_metabolomics_161	untargeted_metabolomics_162	untargeted_metabolomics_163	untargeted_metabolomics_164	untargeted_metabolomics_165	untargeted_metabolomics_166	untargeted_metabolomics_167	untargeted_metabolomics_168	untargeted_metabolomics_169	untargeted_metabolomics_170	untargeted_metabolomics_171	untargeted_metabolomics_172	untargeted_metabolomics_173	untargeted_metabolomics_174	untargeted_metabolomics_175	untargeted_metabolomics_176	untargeted_metabolomics_177	untargeted_metabolomics_178	untargeted_metabolomics_179	untargeted_metabolomics_180	untargeted_metabolomics_181	untargeted_metabolomics_182	untargeted_metabolomics_183	untargeted_metabolomics_184	untargeted_metabolomics_185	untargeted_metabolomics_186	untargeted_metabolomics_187	untargeted_metabolomics_188	untargeted_metabolomics_189	untargeted_metabolomics_190	untargeted_metabolomics_191	untargeted_metabolomics_192	untargeted_metabolomics_193	untargeted_metabolomics_194	untargeted_metabolomics_195	untargeted_metabolomics_196	untargeted_metabolomics_197	untargeted_metabolomics_198	untargeted_metabolomics_199	untargeted_metabolomics_200	untargeted_metabolomics_201	untargeted_metabolomics_202	untargeted_metabolomics_203	untargeted_metabolomics_204	untargeted_metabolomics_205	untargeted_metabolomics_206	untargeted_metabolomics_207	untargeted_metabolomics_208	untargeted_metabolomics_209	untargeted_metabolomics_210	untargeted_metabolomics_211	untargeted_metabolomics_212	untargeted_metabolomics_213	untargeted_metabolomics_214	untargeted_metabolomics_215	untargeted_metabolomics_216	untargeted_metabolomics_217	untargeted_metabolomics_218	untargeted_metabolomics_219	untargeted_metabolomics_220	untargeted_metabolomics_221	untargeted_metabolomics_222	untargeted_metabolomics_223	untargeted_metabolomics_224	untargeted_metabolomics_225	untargeted_metabolomics_226	untargeted_metabolomics_227	untargeted_metabolomics_228	untargeted_metabolomics_229	untargeted_metabolomics_230	untargeted_metabolomics_231	untargeted_metabolomics_232	untargeted_metabolomics_233	untargeted_metabolomics_234	untargeted_metabolomics_235	untargeted_metabolomics_236	untargeted_metabolomics_237	untargeted_metabolomics_238
0	0	15	19	7	9	0	5	0	13	0	9	13	8	1	11	0	10	0	3	0	12	0	1	0	9	0	10	0	14	6	10	7	0	16	0	28	14	12	18	0	9	2	9	12	15	12	0	9	12	0	13	18	5	0	0	0	0	0	1	0	14	14	5	14	0	0	0	2	0	10	16	6	10	4	16	0	0	0	5	7	12	12	0	8	0	0	17	0	14	5	8	7	11	15	0	11	5	13	0	8	0	17	5	3	0	0	0	0	11	0	0	2	18	0	14	0	11	7	8	12	6	11	0	12	19	10	12	5	14	7	9	15	0	0	13	0	5	5	12	4	12	13	0	6	0	12	20	5	0	6	0	0	5	0	0	4	8	0	0	9	8	9	13	5	17	7	9	9	7	15	0	0	7	10	6	0	14	5	0	0	15	5	14	2	3	9	9	6	11	19	6	13	13	0	0	0	11	14	16	8	8	4	8	4	9	1	0	21	9	0	12	0	7	9	11	8	21	17	16	12	11	0	1	0	12	9	0	17	10	6	17	12	0	0	15	1	3	0
1	9	11	15	13	18	14	12	0	15	18	12	0	10	5	0	20	13	1	7	21	12	6	12	2	6	7	0	5	0	0	0	0	15	6	0	9	13	0	12	8	17	16	6	11	10	13	0	11	17	14	9	0	9	0	0	14	9	0	0	13	18	0	3	12	0	0	0	12	0	8	16	6	8	9	0	19	11	15	8	0	5	0	8	4	2	10	19	0	7	0	0	0	4	12	12	15	7	4	13	13	0	10	14	0	0	0	10	9	16	8	8	8	16	2	8	0	0	11	10	5	8	4	7	15	7	0	11	7	0	0	8	11	4	0	0	0	23	4	5	4	9	0	18	15	12	9	0	0	10	12	5	0	0	0	0	13	6	5	0	0	14	6	5	10	0	11	17	3	0	0	10	0	0	10	16	0	9	0	3	6	8	10	8	0	6	12	7	10	14	17	0	0	16	0	9	0	7	6	22	4	0	5	13	12	0	9	14	12	12	11	0	0	16	7	13	9	11	13	0	9	0	2	2	6	0	0	2	14	2	0	15	7	14	0	5	0	18	0
2	5	11	13	0	18	16	12	13	0	10	0	7	0	0	17	10	0	0	0	14	10	0	16	16	0	0	7	6	0	16	13	0	13	0	0	8	0	17	0	0	0	9	15	15	11	9	0	14	1	0	13	0	14	5	11	10	0	0	10	14	12	0	19	7	15	17	15	13	0	0	9	9	0	11	6	0	0	0	14	16	0	0	7	2	10	0	3	9	11	18	0	13	0	9	10	0	0	10	7	18	5	8	0	8	0	10	9	9	7	9	14	9	5	0	13	13	0	13	15	3	0	6	0	5	4	0	8	0	9	3	11	7	0	3	16	2	14	16	11	14	7	17	10	10	4	8	11	20	10	9	6	15	1	6	15	8	0	9	5	10	0	0	0	8	2	0	6	14	0	14	16	0	5	0	0	0	12	6	0	0	8	10	13	3	14	0	2	0	12	0	14	0	8	19	11	0	12	16	0	14	9	18	7	10	0	0	7	11	0	16	15	0	6	12	1	12	23	9	12	16	0	10	14	22	7	11	0	16	15	0	6	0	1	8	16	3	0	0
3	12	20	0	10	10	0	8	0	3	13	3	7	3	18	6	10	3	4	9	14	0	15	0	10	0	18	0	8	0	14	10	9	15	9	8	13	22	7	18	10	0	0	0	13	0	19	16	1	10	10	14	0	12	13	0	0	4	15	9	0	8	8	7	8	5	15	4	8	15	0	0	4	15	4	10	7	10	0	14	8	0	10	19	11	13	12	14	0	14	0	20	7	15	0	0	12	0	10	0	0	11	0	8	2	5	11	13	12	0	17	0	19	11	7	18	0	0	4	5	0	9	11	0	3	7	4	4	15	7	14	15	20	0	10	11	9	7	9	14	18	10	11	14	5	18	0	0	19	0	13	15	11	8	0	0	9	0	8	6	0	5	6	9	12	11	0	0	8	9	12	0	0	14	11	7	2	6	16	11	0	16	11	0	0	11	6	0	12	13	0	8	5	15	8	0	15	17	0	0	0	8	0	5	9	9	11	0	0	9	13	0	8	14	6	3	18	13	0	4	9	0	3	0	5	0	0	0	6	0	8	7	15	15	4	0	4	12	12
4	0	16	17	13	0	9	13	2	8	0	9	6	1	4	0	0	13	6	0	11	0	16	2	16	14	13	0	20	0	9	0	8	0	8	0	5	0	8	14	11	0	0	8	10	11	0	8	0	10	7	16	14	7	10	0	16	8	3	11	1	0	3	5	15	8	6	0	0	10	13	0	0	5	15	0	17	20	0	3	0	4	0	0	0	14	0	0	14	13	7	16	0	25	10	6	2	11	0	5	7	5	12	16	12	13	0	0	15	0	6	13	10	8	0	16	11	11	0	14	14	9	4	5	12	0	0	0	0	0	11	0	19	0	0	0	7	0	2	0	8	13	12	0	9	0	5	11	0	0	10	15	0	14	6	0	0	7	12	0	0	11	17	0	7	10	0	0	19	9	11	6	11	0	14	0	0	18	6	7	14	0	0	7	13	0	4	12	14	7	0	16	12	0	9	0	11	0	7	14	11	0	0	17	0	0	8	6	15	15	7	3	14	5	12	7	18	5	0	9	13	0	10	11	13	0	0	0	11	0	0	7	0	8	12	16	11	12	9
5	12	17	6	7	8	18	12	9	13	0	7	0	5	0	6	0	13	0	7	7	18	10	19	18	6	11	0	0	5	17	9	0	0	11	0	11	0	0	11	8	0	3	0	7	0	0	0	18	12	13	3	0	10	0	0	7	0	13	6	12	0	0	6	10	6	0	18	0	2	6	18	18	18	0	0	0	14	0	10	0	0	14	8	12	0	13	20	16	0	0	16	11	11	20	11	10	15	0	5	19	2	0	1	15	14	17	4	9	3	11	14	12	14	11	17	8	0	6	9	0	10	8	8	13	10	0	10	15	7	0	0	14	15	1	0	17	10	10	10	12	10	6	0	0	0	11	3	7	10	7	0	6	17	0	7	7	9	0	3	21	14	0	1	7	15	17	0	12	21	17	0	6	8	15	8	13	18	1	0	11	7	12	10	9	0	0	13	13	17	10	12	10	3	0	8	11	16	0	20	15	12	9	0	6	0	8	0	5	0	10	13	0	3	8	18	5	13	0	0	7	6	10	15	8	4	15	0	4	0	5	0	7	16	10	0	11	0	11
6	13	3	14	9	0	2	19	0	7	18	15	10	0	3	0	0	14	6	19	0	0	8	8	14	7	0	0	2	14	4	0	0	12	13	10	9	3	0	10	7	0	0	0	3	2	0	0	12	0	8	14	12	1	15	0	6	18	12	15	10	0	2	10	14	0	0	0	9	8	9	0	9	0	8	15	8	13	5	6	10	10	10	1	0	14	0	12	0	0	0	0	5	0	0	18	11	1	13	12	0	10	5	0	0	0	0	6	0	7	10	14	0	6	4	0	10	0	7	16	15	0	8	6	0	11	13	0	0	8	0	14	6	15	0	9	0	13	6	5	0	13	16	13	0	10	9	15	6	9	17	12	0	7	12	9	8	4	2	7	0	14	10	0	0	1	0	8	0	0	2	0	11	5	4	3	0	0	5	5	0	0	14	16	13	0	15	20	14	5	10	0	8	13	0	14	10	11	5	16	14	9	12	12	10	0	8	19	9	9	0	14	15	0	15	0	0	0	0	0	15	0	24	0	12	9	0	6	12	10	11	11	17	20	20	13	7	9	0
7	0	13	8	7	3	11	13	11	10	11	16	7	0	6	0	7	5	0	8	9	0	13	6	13	8	0	0	8	0	6	9	3	9	5	12	10	9	17	16	8	0	15	0	9	12	0	0	0	19	4	7	14	8	0	3	3	13	14	6	0	10	5	0	8	5	7	0	16	0	13	2	13	10	3	9	0	0	24	11	4	6	0	11	10	0	9	0	10	19	0	9	20	18	6	7	0	13	0	15	16	10	17	12	0	17	16	1	19	3	0	0	5	10	0	9	12	3	0	20	15	17	0	21	14	14	10	8	0	11	4	0	8	19	11	8	4	8	21	0	8	0	12	18	0	10	4	0	12	1	10	10	14	0	13	0	0	0	12	0	12	0	3	2	0	0	12	19	16	4	0	0	15	0	0	11	0	0	13	10	8	0	1	0	10	11	0	12	0	13	0	14	0	13	11	0	0	0	10	0	4	12	15	20	11	0	0	12	11	14	0	0	4	6	9	11	0	8	0	3	0	15	15	0	10	8	10	3	13	12	13	0	18	0	6	14	14	18	7
8	0	15	12	0	15	0	8	16	0	9	1	6	8	3	9	7	5	0	6	0	8	6	0	16	13	13	0	2	7	5	9	17	13	9	14	10	0	16	12	13	14	9	0	16	19	8	0	0	0	16	12	16	0	7	15	16	0	0	7	0	9	0	9	0	18	7	0	0	12	10	0	11	2	5	9	9	0	7	0	9	0	0	12	0	8	0	15	6	6	5	23	3	15	10	8	0	6	11	13	0	9	0	9	7	17	6	16	4	17	0	7	13	0	0	9	8	0	9	0	10	0	10	0	6	12	6	13	9	11	9	0	12	0	9	10	7	7	17	13	7	10	2	18	8	0	0	0	6	5	19	0	0	0	10	0	4	21	0	16	12	7	14	0	0	9	0	9	9	0	6	4	2	16	0	5	0	0	0	0	4	11	7	0	0	6	10	15	11	0	15	0	11	11	16	9	0	7	9	8	3	0	0	8	6	10	12	6	0	16	11	1	6	7	13	9	6	10	10	19	0	17	13	13	0	9	0	10	0	0	13	0	4	13	0	3	3	6	13
9	14	15	11	8	0	5	11	10	0	19	0	0	0	14	10	0	0	11	0	7	0	0	18	16	9	11	0	11	5	14	15	0	0	0	2	11	11	6	16	4	12	12	6	0	2	0	13	0	8	10	0	14	10	14	7	4	14	9	12	9	11	6	18	14	12	19	16	3	17	13	0	6	4	2	16	5	13	6	18	0	12	0	0	4	7	0	10	7	12	1	14	16	11	11	0	10	19	20	12	13	15	16	10	10	7	23	9	0	0	0	0	25	0	0	12	0	17	0	19	15	2	0	6	5	5	4	13	13	11	0	6	13	14	15	14	11	9	0	7	0	10	0	8	10	6	0	0	7	14	17	13	2	18	11	0	0	0	12	19	0	8	7	0	9	0	6	18	0	0	15	0	14	9	0	0	0	13	5	0	7	10	7	9	15	14	0	7	2	0	6	0	13	7	10	8	9	0	7	0	3	21	10	3	15	0	19	15	11	13	0	6	8	0	14	0	0	14	5	20	0	6	0	0	10	8	7	0	0	12	5	0	0	4	6	7	2	9	15
