ID	protein_1	protein_2	protein_3	protein_4	protein_5	protein_6	protein_7	protein_8	protein_9	protein_10	protein_11	protein_12	protein_13	protein_14	protein_15	protein_16	protein_17	protein_18	protein_19	protein_20	protein_21	protein_22	protein_23	protein_24	protein_25	protein_26	protein_27	protein_28	protein_29	protein_30	protein_31	protein_32	protein_33	protein_34	protein_35	protein_36	protein_37	protein_38	protein_39	protein_40	protein_41	protein_42	protein_43	protein_44	protein_45	protein_46	protein_47	protein_48	protein_49	protein_50	protein_51	protein_52	protein_53	protein_54	protein_55	protein_56	protein_57	protein_58	protein_59	protein_60	protein_61	protein_62	protein_63	protein_64	protein_65	protein_66	protein_67	protein_68	protein_69	protein_70	protein_71	protein_72	protein_73	protein_74	protein_75	protein_76	protein_77	protein_78	protein_79	protein_80	protein_81	protein_82	protein_83	protein_84	protein_85	protein_86	protein_87	protein_88	protein_89	protein_90	protein_91	protein_92	protein_93	protein_94	protein_95	protein_96	protein_97	protein_98	protein_99	protein_100	protein_101	protein_102	protein_103	protein_104	protein_105	protein_106	protein_107	protein_108	protein_109	protein_110	protein_111	protein_112	protein_113	protein_114	protein_115	protein_116	protein_117	protein_118	protein_119	protein_120	protein_121	protein_122	protein_123	protein_124	protein_125	protein_126	protein_127	protein_128	protein_129	protein_130	protein_131	protein_132	protein_133	protein_134	protein_135	protein_136	protein_137	protein_138	protein_139	protein_140	protein_141	protein_142	protein_143	protein_144	protein_145	protein_146	protein_147	protein_148	protein_149	protein_150	protein_151	protein_152	protein_153	protein_154	protein_155	protein_156	protein_157	protein_158	protein_159	protein_160	protein_161	protein_162	protein_163	protein_164	protein_165	protein_166	protein_167	protein_168	protein_169	protein_170	protein_171	protein_172	protein_173	protein_174	protein_175	protein_176	protein_177	protein_178	protein_179	protein_180	protein_181	protein_182	protein_183	protein_184	protein_185	protein_186	protein_187	protein_188	protein_189	protein_190	protein_191	protein_192	protein_193	protein_194	protein_195	protein_196	protein_197	protein_198	protein_199	protein_200	protein_201	protein_202	protein_203	protein_204	protein_205	protein_206	protein_207	protein_208	protein_209	protein_210	protein_211	protein_212	protein_213	protein_214	protein_215	protein_216	protein_217	protein_218	protein_219	protein_220	protein_221	protein_222	protein_223	protein_224	protein_225	protein_226	protein_227	protein_228	protein_229	protein_230	protein_231	protein_232	protein_233	protein_234	protein_235	protein_236	protein_237	protein_238	protein_239	protein_240	protein_241	protein_242	protein_243	protein_244	protein_245	protein_246	protein_247	protein_248	protein_249	protein_250	protein_251	protein_252	protein_253	protein_254	protein_255	protein_256	protein_257	protein_258	protein_259	protein_260	protein_261	protein_262	protein_263	protein_264	protein_265	protein_266	protein_267	protein_268	protein_269	protein_270	protein_271	protein_272	protein_273	protein_274	protein_275	protein_276	protein_277	protein_278	protein_279	protein_280	protein_281	protein_282	protein_283	protein_284	protein_285	protein_286	protein_287	protein_288	protein_289	protein_290	protein_291	protein_292	protein_293	protein_294	protein_295	protein_296	protein_297	protein_298	protein_299	protein_300	protein_301	protein_302	protein_303	protein_304	protein_305	protein_306	protein_307	protein_308	protein_309	protein_310	protein_311	protein_312	protein_313	protein_314	protein_315	protein_316	protein_317	protein_318	protein_319	protein_320	protein_321	protein_322	protein_323	protein_324	protein_325	protein_326	protein_327	protein_328	protein_329	protein_330	protein_331	protein_332	protein_333	protein_334	protein_335	protein_336	protein_337	protein_338	protein_339	protein_340	protein_341	protein_342	protein_343	protein_344	protein_345	protein_346	protein_347	protein_348	protein_349	protein_350	protein_351	protein_352	protein_353	protein_354	protein_355	protein_356	protein_357	protein_358	protein_359	protein_360	protein_361	protein_362	protein_363	protein_364	protein_365	protein_366	protein_367	protein_368	protein_369	protein_370	protein_371	protein_372	protein_373
0	16	3	0	2	2	0	14	16	19	0	18	8	29	0	23	16	10	0	17	0	0	18	12	8	19	19	25	19	0	13	21	15	12	15	0	0	18	3	9	8	0	0	21	20	7	12	33	26	0	16	25	18	24	19	26	22	7	29	11	25	6	20	13	21	0	0	13	16	20	17	7	0	12	22	19	0	0	0	0	19	13	0	10	16	29	17	0	19	21	0	4	25	7	7	0	14	12	11	0	4	13	21	0	0	19	0	9	29	19	17	17	0	13	28	26	0	5	0	0	13	20	0	0	3	12	18	7	12	1	27	0	16	27	16	13	0	0	5	16	0	16	5	16	0	0	16	19	23	20	8	0	20	19	34	0	14	14	15	15	13	24	30	0	19	22	12	5	0	0	9	21	2	24	16	1	9	25	17	15	0	0	15	0	0	10	26	18	14	25	10	13	12	0	23	0	6	0	3	8	31	25	10	18	11	21	2	21	4	13	19	0	23	13	24	0	16	0	23	0	0	13	0	14	28	0	14	17	12	15	2	5	27	0	0	12	24	19	10	18	21	21	0	14	0	0	6	5	18	17	14	12	26	13	14	0	17	10	15	11	21	11	15	12	15	10	23	0	0	24	0	0	10	3	10	22	12	0	17	0	0	6	19	17	0	7	0	0	0	0	1	0	19	9	0	0	0	0	0	12	15	20	25	12	0	11	16	18	19	9	0	17	0	17	20	0	19	13	20	31	0	24	19	8	4	24	12	16	5	11	18	11	13	19	0	24	21	19	24	2	20	21	10	18	14	10	12	0	17	19	8	13	0	3	0	16	5	16	0	0	17	16	16	19	0	20	17	4	13	17	0	9	0	0
1	14	16	0	20	0	7	10	24	14	21	0	0	9	28	14	26	14	17	11	18	0	12	0	0	0	11	10	26	8	10	11	0	9	19	12	15	20	14	14	17	0	0	7	27	12	0	22	14	5	0	14	21	19	0	20	18	19	24	14	16	24	18	0	0	4	23	20	16	2	0	25	22	14	8	22	0	10	25	26	25	25	22	28	0	0	20	17	0	0	17	18	0	5	19	9	15	27	10	2	8	15	0	0	22	18	6	0	28	10	18	6	0	29	14	0	7	0	5	0	14	14	0	0	24	0	0	0	11	0	0	0	11	20	7	14	0	0	16	8	0	0	15	0	8	21	0	20	5	0	7	13	13	0	19	11	10	7	20	14	0	22	20	0	10	22	18	15	0	14	0	11	25	16	14	23	22	6	0	18	0	22	0	20	6	0	0	20	12	0	22	0	8	1	13	2	5	18	14	23	1	17	12	12	17	10	29	13	0	18	7	17	19	3	18	0	15	0	21	0	12	19	6	30	20	15	0	18	26	7	4	5	16	18	14	19	32	16	10	7	11	27	11	0	28	0	15	0	0	15	9	13	6	22	25	25	21	0	15	14	23	18	10	22	21	11	6	15	18	22	15	12	0	6	0	17	19	20	14	0	10	17	19	0	13	12	18	25	0	1	0	0	31	3	21	10	0	0	9	0	5	7	12	13	16	29	2	19	14	0	0	19	3	5	14	13	0	13	0	15	4	24	22	16	0	21	8	0	3	0	13	16	16	24	5	18	15	15	23	0	0	14	10	17	0	18	22	10	8	14	18	0	16	14	19	10	0	12	9	0	14	29	19	16	37	2	4	21	16	15	23	27	15	0
2	13	10	11	24	0	0	0	19	0	15	27	21	18	0	13	18	23	0	7	0	17	18	11	20	6	13	0	29	13	22	11	18	16	38	8	0	0	15	7	24	27	24	0	16	18	23	10	0	13	15	0	16	8	18	13	2	7	25	24	16	18	0	0	25	5	0	15	29	2	0	0	23	18	32	10	15	17	0	0	23	0	18	12	11	15	13	17	14	31	0	19	12	12	18	20	20	5	22	17	17	25	0	8	28	0	7	7	0	0	0	22	0	5	0	15	0	10	0	0	22	7	1	0	13	25	26	16	20	10	10	0	20	22	24	0	0	0	14	0	0	19	6	15	0	0	0	19	21	18	18	4	14	0	21	0	23	0	0	0	15	9	0	27	22	15	0	24	7	0	2	0	0	0	13	21	16	20	7	23	0	9	0	31	21	3	0	18	0	11	0	0	14	2	21	12	14	7	15	14	0	29	24	21	0	25	13	0	0	24	20	12	19	0	9	14	23	10	25	18	21	25	0	17	6	20	0	17	0	26	0	0	15	1	23	9	17	18	11	21	26	0	24	20	3	14	13	0	0	0	9	11	10	10	0	0	7	17	13	20	16	0	22	17	11	0	18	17	27	6	7	21	0	2	28	0	17	22	18	29	32	14	0	8	27	10	7	13	17	6	8	13	18	0	0	12	0	0	9	0	0	0	9	0	0	20	12	9	18	0	6	20	11	14	23	0	6	16	0	0	14	14	15	17	14	22	21	17	0	17	0	10	8	17	15	21	0	18	21	0	0	0	9	15	23	37	19	10	0	17	0	16	0	3	0	13	0	9	27	8	0	0	0	26	8	23	0	30	1	0	14	12	0	11
3	14	15	13	0	7	16	13	0	17	5	16	8	31	3	28	23	10	0	7	15	0	15	0	4	24	20	0	8	18	17	13	23	12	10	15	0	0	0	14	14	17	0	7	23	0	11	10	13	15	20	20	19	21	6	19	0	20	18	12	2	0	19	14	13	14	10	21	7	18	12	14	19	0	3	13	23	21	20	17	10	18	20	17	11	0	15	5	3	0	8	17	0	8	21	0	8	0	22	25	16	0	21	15	11	0	15	17	21	16	4	16	0	22	11	2	9	26	24	11	13	16	20	14	0	7	0	17	12	18	0	6	9	19	24	8	17	20	10	4	22	33	5	19	1	15	0	13	9	0	0	14	21	25	21	8	0	10	20	0	11	18	12	4	1	0	0	7	8	19	13	20	0	21	24	18	0	15	17	12	21	9	19	1	19	14	19	17	0	18	6	13	11	24	0	22	13	0	14	9	0	10	19	32	0	0	9	15	21	16	14	22	16	12	19	0	0	0	0	4	0	0	10	19	20	12	0	14	13	3	22	35	15	14	10	19	25	9	9	10	1	17	29	29	0	11	19	5	0	15	0	10	26	0	0	5	0	7	0	13	13	11	6	18	8	22	14	25	0	0	16	5	21	0	0	14	19	6	24	12	0	30	21	21	14	0	0	19	11	0	0	27	20	18	0	0	0	13	21	0	0	1	11	6	0	0	13	20	18	0	13	13	0	0	0	15	11	9	0	10	0	18	22	21	16	15	0	18	9	10	12	28	30	10	12	13	11	13	12	0	12	18	14	17	7	0	24	11	22	14	18	0	17	18	14	18	26	16	0	0	16	0	15	0	6	2	10	0	12	0	0	29	16	26
4	2	0	19	0	14	0	15	12	27	0	21	0	28	18	8	13	0	20	2	11	0	16	4	9	14	14	17	15	8	26	15	28	14	22	0	11	0	6	16	21	0	0	0	21	30	24	8	14	13	16	7	23	10	0	0	9	18	0	23	0	19	0	0	0	0	24	0	0	17	0	14	15	33	0	26	18	20	15	0	14	16	20	17	0	18	0	16	3	0	0	13	13	16	12	3	12	6	22	0	21	0	10	27	19	0	0	18	13	17	8	27	0	10	17	2	26	9	0	14	21	5	8	18	18	0	16	0	4	0	11	18	0	17	6	0	21	13	0	9	8	8	16	22	17	17	20	0	18	17	5	9	17	0	0	0	24	0	11	12	12	0	8	19	0	22	22	17	13	9	20	16	20	16	12	0	1	0	15	8	13	9	3	9	18	3	0	19	26	19	14	16	0	25	19	19	0	15	12	20	17	0	0	0	17	0	16	13	0	0	6	25	26	22	0	0	27	24	0	22	17	13	9	20	12	0	17	0	10	21	12	13	12	14	33	0	20	22	0	0	20	20	13	0	10	22	16	36	14	21	11	5	19	21	0	0	18	8	16	0	0	28	19	6	0	0	7	0	0	12	0	22	11	7	23	23	22	0	12	0	21	20	12	20	0	10	9	19	24	0	28	0	6	0	0	15	11	0	0	8	0	21	25	0	0	16	26	22	28	0	21	0	4	4	17	10	13	18	16	0	22	0	0	14	0	29	17	7	10	0	0	24	25	0	22	18	0	23	0	25	19	22	11	6	0	14	0	30	17	16	0	6	0	17	0	5	14	19	10	23	0	0	18	16	0	0	6	17	3	20	20	0	14	5
5	7	15	0	0	29	14	7	7	3	13	25	18	0	16	0	3	23	16	9	0	3	0	14	20	23	12	9	18	19	1	25	18	0	0	17	11	16	21	10	25	1	0	17	0	0	16	24	0	0	0	0	23	1	0	0	24	21	15	11	0	0	22	20	22	0	0	15	17	3	25	22	14	23	27	24	11	17	11	21	2	20	13	8	20	15	18	11	0	0	16	15	19	23	0	0	27	0	15	7	8	0	7	0	0	5	0	1	12	0	19	8	2	22	0	0	15	19	0	21	0	5	1	0	11	0	4	0	0	17	21	7	0	1	0	0	0	20	10	13	13	24	0	0	17	21	7	15	0	14	11	0	13	18	14	7	1	22	0	0	4	30	0	9	25	15	12	19	9	17	0	14	18	17	0	0	0	0	1	12	10	16	0	6	11	0	29	22	0	0	18	10	0	11	14	18	0	0	0	26	34	30	0	6	11	18	8	9	11	0	17	8	18	9	22	13	0	0	26	3	0	16	9	5	12	17	2	6	9	0	21	20	0	14	0	0	8	10	25	15	10	22	21	0	18	15	10	0	23	19	24	19	10	15	10	13	2	20	12	0	15	0	25	14	0	10	26	0	0	8	22	0	10	20	3	18	3	19	0	17	18	16	0	29	0	6	21	0	15	0	0	18	16	28	17	9	17	24	0	0	0	5	18	19	15	12	0	17	1	17	28	24	12	29	12	0	0	0	11	26	21	30	18	0	15	20	13	23	0	12	21	11	12	0	22	9	5	11	29	10	23	17	20	11	0	9	19	16	24	11	16	5	20	8	21	20	7	0	11	9	0	0	25	21	0	18	5	11	16	24	0	0	24	0
6	14	34	4	14	9	0	0	29	20	8	0	20	5	0	9	0	15	16	0	19	28	15	7	16	9	17	13	0	0	19	20	27	14	0	22	17	0	0	9	8	1	0	0	0	15	10	21	9	18	13	21	2	16	0	16	17	15	6	13	20	0	0	30	0	10	27	21	8	0	16	15	0	14	14	18	12	22	20	17	22	23	11	0	0	0	0	16	18	25	7	7	0	0	9	13	7	1	14	15	19	10	25	0	19	0	10	18	20	13	29	24	11	5	10	5	17	8	22	9	9	18	15	0	26	13	23	0	0	4	15	4	0	19	23	0	18	0	0	0	18	16	0	26	13	19	13	22	0	22	7	0	8	15	10	0	0	0	4	12	25	0	21	6	8	14	0	24	0	11	12	13	16	26	8	8	10	26	7	0	16	16	17	15	20	16	23	0	9	27	8	20	14	22	25	0	0	9	0	3	25	0	0	23	13	23	11	33	11	0	0	11	0	15	10	0	15	17	11	17	22	0	6	15	12	5	13	14	26	10	12	22	21	6	14	14	19	0	0	18	18	15	14	23	19	10	19	17	13	29	9	17	14	19	6	24	4	13	33	18	10	17	0	0	18	0	0	0	12	13	5	13	0	0	0	15	15	0	15	15	26	23	15	3	0	0	28	0	0	3	24	17	5	18	0	14	11	25	0	19	6	30	19	0	15	0	19	19	24	13	0	0	9	9	17	0	21	9	26	22	13	8	22	26	0	14	24	0	25	0	20	0	15	12	20	11	0	12	6	17	24	20	17	15	2	13	9	16	17	11	19	21	0	9	8	5	23	3	26	23	14	12	0	14	0	25	0	5	21	0	6	7	8	0
7	4	10	0	0	0	21	17	5	3	0	1	8	0	5	6	20	0	22	11	0	10	0	19	0	7	0	9	8	12	26	14	5	0	11	19	23	0	21	0	0	0	7	0	0	5	21	15	20	0	8	0	0	0	0	20	0	16	14	3	0	0	19	3	0	24	19	15	0	0	16	9	2	0	14	16	0	21	16	13	11	0	0	6	0	15	13	30	29	0	12	0	31	0	1	3	12	6	13	0	26	15	18	25	0	5	15	0	0	20	0	14	0	31	17	16	17	6	24	14	21	0	17	20	13	15	28	22	6	19	22	8	9	15	7	12	24	5	12	0	16	24	0	16	0	14	18	13	0	20	0	0	0	10	11	11	5	0	9	26	0	20	15	8	29	18	16	13	13	0	20	29	0	8	0	0	0	0	26	23	26	11	10	12	0	11	12	0	9	10	15	13	15	11	13	4	13	13	17	28	17	0	6	9	14	26	22	0	13	9	23	24	12	2	8	10	15	0	15	7	0	24	24	22	6	0	18	19	15	14	0	12	0	15	10	18	7	0	8	12	22	0	16	17	12	26	15	26	6	15	0	0	12	25	0	0	13	20	12	22	3	19	0	13	9	12	12	13	12	17	9	0	0	0	0	15	12	23	19	17	3	10	2	0	16	0	0	14	0	30	17	11	23	0	0	26	16	0	0	26	19	21	19	18	14	19	21	20	21	13	26	8	17	10	0	9	0	6	1	13	23	12	17	9	8	17	17	0	9	12	0	0	12	0	23	12	0	28	0	12	10	20	13	19	15	0	9	10	0	4	19	0	23	14	9	9	28	0	0	0	0	11	7	13	0	0	1	23	19	16	0	20	16	2
8	6	23	16	8	20	14	7	19	0	0	0	0	13	7	15	28	0	19	21	22	30	19	28	11	38	0	13	7	13	12	20	0	0	0	17	20	0	20	20	13	0	5	0	32	15	23	25	16	14	24	10	4	25	13	19	0	0	0	16	16	0	0	16	0	28	0	13	25	25	12	0	15	0	13	29	19	0	4	0	0	18	0	0	17	16	9	0	0	19	11	8	17	20	7	0	12	0	6	17	9	19	0	0	6	11	21	7	0	26	0	0	13	13	0	24	24	20	20	0	2	8	24	5	11	9	0	19	12	0	26	0	12	0	17	0	14	7	14	16	0	6	3	0	24	11	0	26	22	0	23	25	0	4	8	0	15	21	1	13	7	13	0	30	12	11	0	20	17	22	18	20	9	22	0	13	9	0	0	20	0	12	0	0	23	18	15	0	0	22	22	7	18	20	8	11	9	0	10	11	11	15	14	15	20	0	0	0	19	0	8	0	21	20	27	17	14	18	0	5	28	19	1	22	11	8	5	14	0	11	0	1	8	16	0	0	15	0	13	9	13	20	0	0	0	0	12	4	9	7	11	0	13	19	14	0	14	12	21	0	18	0	0	26	0	15	17	22	13	0	17	4	7	21	27	16	5	11	0	0	9	15	9	0	18	0	18	0	15	0	0	19	17	4	27	9	18	24	2	14	0	18	0	9	20	17	0	15	0	11	0	4	0	0	17	26	0	0	20	28	0	22	0	26	11	22	17	0	6	20	17	10	10	25	1	13	38	0	12	24	17	17	3	6	14	0	22	12	16	19	5	25	0	0	10	17	18	25	10	0	0	19	11	11	17	2	17	4	19	17	25	0	21	18
9	17	17	20	11	14	0	16	13	16	19	19	0	4	27	0	26	0	10	22	12	11	3	4	6	0	12	10	0	15	11	21	0	17	18	0	22	0	7	7	15	22	0	27	0	23	15	0	0	10	23	21	2	0	18	5	0	0	21	6	10	22	0	0	10	2	18	17	5	6	23	0	0	21	27	0	0	10	0	15	15	0	17	16	13	24	0	19	18	19	10	8	14	14	26	12	26	0	19	4	23	0	23	23	10	15	0	10	0	15	17	26	14	11	0	14	9	6	20	12	5	19	14	14	19	3	14	15	17	0	8	4	18	17	25	17	15	14	0	21	0	5	15	17	30	17	8	13	0	7	19	0	2	18	0	0	4	18	7	0	0	0	1	6	16	10	2	0	11	12	0	6	0	0	5	20	0	16	0	23	5	0	14	0	0	0	12	15	9	0	18	15	16	19	14	0	29	6	0	25	14	27	0	3	20	14	24	0	15	22	0	23	11	0	22	26	23	26	27	0	21	26	16	18	20	24	1	0	0	21	0	17	12	20	0	17	14	0	26	16	27	0	5	12	11	25	0	9	24	15	13	0	16	7	18	16	8	16	18	0	26	13	18	16	18	7	5	8	28	23	8	0	2	14	4	0	22	8	16	15	22	0	21	19	14	23	19	8	12	6	0	19	19	12	15	13	0	0	14	10	16	0	15	0	23	15	21	0	9	16	0	20	21	27	26	4	0	0	14	8	12	10	1	7	13	12	5	5	15	19	12	20	26	0	6	19	11	0	19	14	25	18	5	20	13	27	2	15	24	0	21	6	0	18	0	29	22	18	2	27	14	10	17	12	13	9	22	23	7	0	12	20	2	20
