ID	targeted_metabolomics_1	targeted_metabolomics_2	targeted_metabolomics_3	targeted_metabolomics_4	targeted_metabolomics_5	targeted_metabolomics_6	targeted_metabolomics_7	targeted_metabolomics_8	targeted_metabolomics_9	targeted_metabolomics_10	targeted_metabolomics_11	targeted_metabolomics_12	targeted_metabolomics_13	targeted_metabolomics_14	targeted_metabolomics_15	targeted_metabolomics_16	targeted_metabolomics_17	targeted_metabolomics_18	targeted_metabolomics_19	targeted_metabolomics_20	targeted_metabolomics_21	targeted_metabolomics_22	targeted_metabolomics_23	targeted_metabolomics_24	targeted_metabolomics_25	targeted_metabolomics_26	targeted_metabolomics_27	targeted_metabolomics_28	targeted_metabolomics_29	targeted_metabolomics_30	targeted_metabolomics_31	targeted_metabolomics_32	targeted_metabolomics_33	targeted_metabolomics_34	targeted_metabolomics_35	targeted_metabolomics_36	targeted_metabolomics_37	targeted_metabolomics_38	targeted_metabolomics_39	targeted_metabolomics_40	targeted_metabolomics_41	targeted_metabolomics_42	targeted_metabolomics_43	targeted_metabolomics_44	targeted_metabolomics_45	targeted_metabolomics_46	targeted_metabolomics_47	targeted_metabolomics_48	targeted_metabolomics_49	targeted_metabolomics_50	targeted_metabolomics_51	targeted_metabolomics_52	targeted_metabolomics_53	targeted_metabolomics_54	targeted_metabolomics_55	targeted_metabolomics_56	targeted_metabolomics_57	targeted_metabolomics_58	targeted_metabolomics_59	targeted_metabolomics_60	targeted_metabolomics_61	targeted_metabolomics_62	targeted_metabolomics_63	targeted_metabolomics_64	targeted_metabolomics_65	targeted_metabolomics_66	targeted_metabolomics_67	targeted_metabolomics_68	targeted_metabolomics_69	targeted_metabolomics_70	targeted_metabolomics_71	targeted_metabolomics_72	targeted_metabolomics_73	targeted_metabolomics_74	targeted_metabolomics_75	targeted_metabolomics_76	targeted_metabolomics_77	targeted_metabolomics_78	targeted_metabolomics_79	targeted_metabolomics_80	targeted_metabolomics_81	targeted_metabolomics_82	targeted_metabolomics_83	targeted_metabolomics_84	targeted_metabolomics_85	targeted_metabolomics_86	targeted_metabolomics_87	targeted_metabolomics_88	targeted_metabolomics_89	targeted_metabolomics_90	targeted_metabolomics_91	targeted_metabolomics_92	targeted_metabolomics_93	targeted_metabolomics_94	targeted_metabolomics_95	targeted_metabolomics_96	targeted_metabolomics_97	targeted_metabolomics_98	targeted_metabolomics_99	targeted_metabolomics_100	targeted_metabolomics_101	targeted_metabolomics_102	targeted_metabolomics_103	targeted_metabolomics_104	targeted_metabolomics_105	targeted_metabolomics_106	targeted_metabolomics_107	targeted_metabolomics_108	targeted_metabolomics_109	targeted_metabolomics_110	targeted_metabolomics_111	targeted_metabolomics_112	targeted_metabolomics_113	targeted_metabolomics_114	targeted_metabolomics_115	targeted_metabolomics_116	targeted_metabolomics_117	targeted_metabolomics_118	targeted_metabolomics_119
0	0	14	5	13	1	4	9	8	5	4	8	4	8	7	14	11	13	3	0	16	8	10	22	10	16	7	11	5	2	5	6	6	11	9	14	5	8	1	7	0	1	11	3	0	0	0	10	0	0	14	0	11	11	11	14	0	5	13	6	17	4	10	3	9	0	19	6	14	9	6	9	1	11	11	4	0	3	0	1	0	0	9	10	1	9	7	19	18	14	4	18	0	4	7	0	16	0	4	0	15	0	5	0	0	5	0	10	11	11	0	0	17	14	17	18	3	4	15	0
1	10	13	8	0	12	5	13	13	12	0	4	0	8	11	8	5	12	13	9	15	11	1	2	11	0	4	5	0	10	0	2	0	0	11	0	19	0	15	7	6	10	10	8	0	10	17	0	7	0	11	11	7	7	5	17	0	8	0	0	13	5	12	6	0	0	17	13	2	13	0	14	10	8	8	17	16	2	5	8	11	10	15	7	19	9	0	8	0	17	14	12	16	2	4	13	7	0	0	14	0	0	12	6	3	3	13	0	13	10	10	15	12	12	1	0	15	5	10	8
2	12	14	7	7	0	0	0	12	11	10	8	16	0	9	8	9	7	4	8	0	10	6	9	10	6	12	4	0	13	13	4	13	0	5	13	4	11	9	15	1	12	0	4	0	6	4	8	0	8	12	4	0	13	7	9	0	15	18	9	5	9	0	12	10	8	10	0	13	0	0	11	14	10	4	10	8	0	3	0	17	0	2	10	14	0	14	12	6	3	0	7	14	0	5	15	0	17	6	18	12	10	15	12	10	2	13	12	12	7	0	0	5	0	15	0	0	12	0	17
3	3	11	7	12	3	1	10	0	9	0	0	8	0	16	0	10	9	0	0	5	8	2	11	11	14	0	11	6	11	7	8	5	0	0	14	0	10	9	0	0	9	14	0	13	13	0	6	4	19	5	12	11	17	5	11	12	0	0	11	0	0	4	13	11	11	0	10	9	18	7	18	13	10	6	0	6	13	20	12	6	16	9	10	15	16	5	6	6	0	0	10	7	13	2	13	0	10	6	0	0	13	10	15	12	0	10	0	14	0	7	10	2	9	2	9	16	0	7	3
4	2	0	10	7	14	6	10	7	18	7	14	7	6	0	0	9	0	9	16	12	10	14	6	0	12	4	13	1	8	10	12	10	3	6	8	7	7	14	2	6	8	13	6	11	12	11	0	11	2	0	8	11	10	11	3	11	14	2	15	0	0	11	5	13	17	4	2	25	0	17	10	0	13	3	7	13	7	7	0	2	7	6	13	0	0	0	11	13	22	10	10	8	2	12	8	10	8	10	2	10	23	0	5	3	11	7	6	0	0	10	13	5	13	18	20	14	13	11	7
5	13	0	9	11	0	5	11	0	14	5	0	10	11	1	6	11	17	6	0	0	3	7	0	16	6	10	0	14	12	9	0	0	11	1	5	14	7	13	0	14	0	3	11	12	4	11	12	16	6	0	2	6	0	2	12	10	12	12	6	8	17	15	8	0	0	8	0	6	15	18	0	0	8	0	14	10	0	14	7	10	6	4	19	20	7	16	0	5	0	11	15	7	0	10	0	0	12	0	0	0	20	9	8	12	11	18	12	7	12	0	10	11	0	19	1	0	15	1	0
6	15	4	3	7	14	17	12	0	9	6	8	6	10	10	11	13	19	0	0	0	1	9	8	15	14	9	10	17	5	2	12	0	0	1	3	14	5	12	12	5	0	11	0	18	16	10	19	10	14	7	10	9	2	7	4	11	14	7	1	0	11	6	6	14	0	8	12	8	7	9	13	0	6	0	7	9	5	13	7	12	0	0	7	3	11	16	12	16	8	11	7	11	10	2	0	11	11	7	6	12	11	16	2	2	11	0	9	11	5	13	14	3	2	0	7	13	1	0	11
7	5	8	16	0	1	7	4	8	12	0	4	14	13	11	11	16	4	11	18	15	12	13	10	12	12	0	10	0	14	8	0	6	14	12	20	5	12	7	12	8	6	8	18	13	2	13	13	12	12	11	10	11	4	0	16	13	1	6	12	7	11	12	3	3	13	0	4	6	0	5	12	8	10	16	13	10	16	0	0	14	6	6	10	19	1	2	9	13	0	7	12	0	12	6	8	15	8	12	0	7	14	12	6	18	16	0	9	0	12	0	7	9	16	7	17	10	7	0	5
8	15	3	13	19	0	13	9	0	10	9	12	14	9	9	10	0	20	12	5	4	9	16	1	16	12	6	8	0	11	0	9	11	7	0	0	0	2	4	15	0	7	8	7	13	0	14	7	7	13	0	4	12	12	0	15	15	2	0	7	12	14	9	12	7	12	0	7	10	8	9	6	11	7	20	14	10	0	11	8	0	6	2	11	21	13	18	8	0	15	0	19	10	0	18	17	13	4	0	14	4	5	7	8	9	5	5	0	13	17	10	8	21	0	5	5	15	17	11	15
9	10	1	7	10	1	8	9	0	3	16	19	0	0	9	11	8	10	10	18	3	2	12	2	0	5	17	19	0	8	0	15	3	13	5	11	24	7	17	10	9	8	1	7	6	7	13	6	13	10	11	12	5	5	13	18	1	17	6	24	13	16	8	0	0	3	0	24	9	13	9	20	9	0	19	11	0	10	15	13	8	9	20	4	17	0	20	1	7	11	9	0	8	12	15	0	15	9	10	5	5	15	4	2	0	22	10	0	12	17	7	9	5	10	11	18	14	12	14	0
