ID	untargeted_metabolomics_1	untargeted_metabolomics_2	untargeted_metabolomics_3	untargeted_metabolomics_4	untargeted_metabolomics_5	untargeted_metabolomics_6	untargeted_metabolomics_7	untargeted_metabolomics_8	untargeted_metabolomics_9	untargeted_metabolomics_10	untargeted_metabolomics_11	untargeted_metabolomics_12	untargeted_metabolomics_13	untargeted_metabolomics_14	untargeted_metabolomics_15	untargeted_metabolomics_16	untargeted_metabolomics_17	untargeted_metabolomics_18	untargeted_metabolomics_19	untargeted_metabolomics_20	untargeted_metabolomics_21	untargeted_metabolomics_22	untargeted_metabolomics_23	untargeted_metabolomics_24	untargeted_metabolomics_25	untargeted_metabolomics_26	untargeted_metabolomics_27	untargeted_metabolomics_28	untargeted_metabolomics_29	untargeted_metabolomics_30	untargeted_metabolomics_31	untargeted_metabolomics_32	untargeted_metabolomics_33	untargeted_metabolomics_34	untargeted_metabolomics_35	untargeted_metabolomics_36	untargeted_metabolomics_37	untargeted_metabolomics_38	untargeted_metabolomics_39	untargeted_metabolomics_40	untargeted_metabolomics_41	untargeted_metabolomics_42	untargeted_metabolomics_43	untargeted_metabolomics_44	untargeted_metabolomics_45	untargeted_metabolomics_46	untargeted_metabolomics_47	untargeted_metabolomics_48	untargeted_metabolomics_49	untargeted_metabolomics_50	untargeted_metabolomics_51	untargeted_metabolomics_52	untargeted_metabolomics_53	untargeted_metabolomics_54	untargeted_metabolomics_55	untargeted_metabolomics_56	untargeted_metabolomics_57	untargeted_metabolomics_58	untargeted_metabolomics_59	untargeted_metabolomics_60	untargeted_metabolomics_61	untargeted_metabolomics_62	untargeted_metabolomics_63	untargeted_metabolomics_64	untargeted_metabolomics_65	untargeted_metabolomics_66	untargeted_metabolomics_67	untargeted_metabolomics_68	untargeted_metabolomics_69	untargeted_metabolomics_70	untargeted_metabolomics_71	untargeted_metabolomics_72	untargeted_metabolomics_73	untargeted_metabolomics_74	untargeted_metabolomics_75	untargeted_metabolomics_76	untargeted_metabolomics_77	untargeted_metabolomics_78	untargeted_metabolomics_79	untargeted_metabolomics_80	untargeted_metabolomics_81	untargeted_metabolomics_82	untargeted_metabolomics_83	untargeted_metabolomics_84	untargeted_metabolomics_85	untargeted_metabolomics_86	untargeted_metabolomics_87	untargeted_metabolomics_88	untargeted_metabolomics_89	untargeted_metabolomics_90	untargeted_metabolomics_91	untargeted_metabolomics_92	untargeted_metabolomics_93	untargeted_metabolomics_94	untargeted_metabolomics_95	untargeted_metabolomics_96	untargeted_metabolomics_97	untargeted_metabolomics_98	untargeted_metabolomics_99	untargeted_metabolomics_100	untargeted_metabolomics_101	untargeted_metabolomics_102	untargeted_metabolomics_103	untargeted_metabolomics_104	untargeted_metabolomics_105	untargeted_metabolomics_106	untargeted_metabolomics_107	untargeted_metabolomics_108	untargeted_metabolomics_109	untargeted_metabolomics_110	untargeted_metabolomics_111	untargeted_metabolomics_112	untargeted_metabolomics_113	untargeted_metabolomics_114	untargeted_metabolomics_115	untargeted_metabolomics_116	untargeted_metabolomics_117	untargeted_metabolomics_118	untargeted_metabolomics_119	untargeted_metabolomics_120	untargeted_metabolomics_121	untargeted_metabolomics_122	untargeted_metabolomics_123	untargeted_metabolomics_124	untargeted_metabolomics_125	untargeted_metabolomics_126	untargeted_metabolomics_127	untargeted_metabolomics_128	untargeted_metabolomics_129	untargeted_metabolomics_130	untargeted_metabolomics_131	untargeted_metabolomics_132	untargeted_metabolomics_133	untargeted_metabolomics_134	untargeted_metabolomics_135	untargeted_metabolomics_136	untargeted_metabolomics_137	untargeted_metabolomics_138	untargeted_metabolomics_139	untargeted_metabolomics_140	untargeted_metabolomics_141	untargeted_metabolomics_142	untargeted_metabolomics_143	untargeted_metabolomics_144	untargeted_metabolomics_145	untargeted_metabolomics_146	untargeted_metabolomics_147	untargeted_metabolomics_148	untargeted_metabolomics_149	untargeted_metabolomics_150	untargeted_metabolomics_151	untargeted_metabolomics_152	untargeted_metabolomics_153	untargeted_metabolomics_154	untargeted_metabolomics_155	untargeted_metabolomics_156	untargeted_metabolomics_157	untargeted_metabolomics_158	untargeted_metabolomics_159	untargeted_metabolomics_160	untargeted_metabolomics_161	untargeted_metabolomics_162	untargeted_metabolomics_163	untargeted_metabolomics_164	untargeted_metabolomics_165	untargeted_metabolomics_166	untargeted_metabolomics_167	untargeted_metabolomics_168	untargeted_metabolomics_169	untargeted_metabolomics_170	untargeted_metabolomics_171	untargeted_metabolomics_172	untargeted_metabolomics_173	untargeted_metabolomics_174	untargeted_metabolomics_175	untargeted_metabolomics_176	untargeted_metabolomics_177	untargeted_metabolomics_178	untargeted_metabolomics_179	untargeted_metabolomics_180	untargeted_metabolomics_181	untargeted_metabolomics_182	untargeted_metabolomics_183	untargeted_metabolomics_184	untargeted_metabolomics_185	untargeted_metabolomics_186	untargeted_metabolomics_187	untargeted_metabolomics_188	untargeted_metabolomics_189	untargeted_metabolomics_190	untargeted_metabolomics_191	untargeted_metabolomics_192	untargeted_metabolomics_193	untargeted_metabolomics_194	untargeted_metabolomics_195	untargeted_metabolomics_196	untargeted_metabolomics_197	untargeted_metabolomics_198	untargeted_metabolomics_199	untargeted_metabolomics_200	untargeted_metabolomics_201	untargeted_metabolomics_202	untargeted_metabolomics_203	untargeted_metabolomics_204	untargeted_metabolomics_205	untargeted_metabolomics_206	untargeted_metabolomics_207	untargeted_metabolomics_208	untargeted_metabolomics_209	untargeted_metabolomics_210	untargeted_metabolomics_211	untargeted_metabolomics_212	untargeted_metabolomics_213	untargeted_metabolomics_214	untargeted_metabolomics_215	untargeted_metabolomics_216	untargeted_metabolomics_217	untargeted_metabolomics_218	untargeted_metabolomics_219	untargeted_metabolomics_220	untargeted_metabolomics_221	untargeted_metabolomics_222	untargeted_metabolomics_223	untargeted_metabolomics_224	untargeted_metabolomics_225	untargeted_metabolomics_226	untargeted_metabolomics_227	untargeted_metabolomics_228	untargeted_metabolomics_229	untargeted_metabolomics_230	untargeted_metabolomics_231	untargeted_metabolomics_232	untargeted_metabolomics_233	untargeted_metabolomics_234	untargeted_metabolomics_235	untargeted_metabolomics_236	untargeted_metabolomics_237	untargeted_metabolomics_238
0	13	0	0	7	7	10	13	0	0	0	8	10	0	0	1	13	13	0	7	15	15	0	0	2	0	0	15	1	0	10	0	0	0	19	6	8	0	16	11	0	0	0	9	0	13	12	0	15	0	16	14	23	8	9	0	6	0	0	0	0	7	0	4	0	8	0	1	2	9	5	23	5	0	0	14	14	11	0	11	0	10	12	1	0	7	9	12	2	7	14	13	0	0	9	14	10	15	10	12	0	8	9	21	11	0	13	15	10	0	0	9	1	8	12	0	9	10	5	0	13	6	15	6	25	16	0	13	13	17	4	13	5	11	13	0	0	0	16	0	0	17	11	11	13	9	0	0	7	18	17	10	5	0	0	0	11	0	5	16	12	4	4	13	14	4	14	1	0	9	0	7	6	0	7	9	4	14	9	10	0	6	13	0	11	19	6	0	6	6	11	0	3	3	0	14	6	0	0	0	0	0	0	12	0	17	8	12	9	0	13	7	0	0	15	11	10	15	5	13	10	16	8	12	0	16	8	14	10	18	7	8	11	0	12	10	0	19	9
1	19	5	0	0	15	14	6	5	6	12	16	10	8	21	0	11	12	10	8	16	7	8	8	2	12	8	0	21	0	13	0	3	16	1	0	0	11	7	0	13	0	0	0	0	15	0	10	0	1	0	11	16	14	6	5	13	3	2	21	5	15	9	21	0	8	0	5	0	1	2	16	10	0	18	0	0	8	10	11	0	9	0	17	12	12	11	13	0	11	12	3	0	0	0	3	0	9	7	5	12	10	12	13	0	13	0	14	14	0	13	9	16	13	18	10	17	13	16	8	3	22	2	0	10	2	15	0	4	21	10	13	9	0	3	6	11	14	4	6	9	0	17	12	0	0	9	12	11	0	0	0	10	10	4	16	16	0	9	0	17	12	0	16	18	13	8	14	6	8	7	15	14	0	13	10	17	0	8	0	4	0	15	5	0	0	0	0	0	7	11	8	0	7	11	11	12	0	14	3	13	14	7	4	5	6	0	11	10	0	13	13	9	0	3	9	7	12	1	5	17	0	6	22	9	14	15	14	18	12	16	10	0	0	17	6	11	1	4
2	17	6	15	0	12	4	0	7	0	15	4	6	0	0	9	0	16	17	0	8	9	0	0	15	11	0	0	7	0	0	3	0	8	0	16	0	2	0	1	0	0	13	7	7	10	0	6	17	9	3	0	0	9	0	11	9	6	0	14	3	0	11	6	0	6	5	14	12	12	14	10	7	0	16	15	8	0	11	8	10	15	6	11	0	18	1	3	6	17	21	15	11	0	7	8	13	0	14	10	18	0	0	15	8	2	0	0	15	17	3	0	3	12	6	8	0	4	10	18	14	2	6	2	12	8	7	10	6	0	14	0	17	0	22	17	10	11	9	14	0	0	0	0	0	0	8	12	13	17	8	14	13	0	8	12	7	0	14	6	0	14	0	2	6	0	6	0	6	10	7	9	0	1	0	0	0	0	22	21	15	0	9	3	9	4	4	17	8	9	17	0	1	8	7	11	0	0	11	8	0	0	7	7	13	7	0	13	5	6	0	7	10	11	12	11	4	0	0	12	0	12	0	5	18	20	0	13	18	1	12	10	0	11	2	0	11	7	7
3	7	14	0	14	6	0	6	12	4	6	5	0	4	12	7	4	15	6	12	13	4	6	6	16	0	8	12	7	10	11	12	11	0	12	0	0	9	3	10	9	0	17	13	0	12	5	0	14	7	12	3	4	10	11	13	0	16	13	7	20	17	0	13	2	9	12	15	8	3	8	10	0	7	5	0	3	16	0	6	18	9	12	9	10	0	12	15	11	9	16	15	10	0	5	0	11	7	2	8	0	12	12	0	0	15	9	7	5	0	0	14	0	0	7	0	13	0	9	18	0	13	16	8	11	19	3	7	5	0	14	0	15	15	6	6	13	7	7	0	0	15	13	8	0	15	0	0	8	20	15	9	13	2	12	16	4	0	15	17	11	13	0	0	19	13	10	4	13	5	14	12	3	10	0	0	0	0	0	12	10	7	0	11	8	1	8	0	0	0	0	2	2	2	0	0	0	19	15	5	16	12	13	5	7	8	11	0	0	8	8	0	0	0	6	6	0	7	16	14	0	5	3	4	6	12	6	0	0	13	0	0	0	6	0	0	0	2	0
4	13	0	0	14	0	10	7	0	14	0	0	0	21	0	12	11	0	0	9	9	4	20	12	0	0	9	0	0	0	15	12	0	16	10	11	0	12	11	0	8	13	18	11	0	18	15	0	4	18	11	8	9	2	0	0	8	12	14	17	0	15	14	5	0	11	0	0	14	6	7	3	7	0	1	1	0	8	4	9	18	11	11	0	0	16	14	9	0	14	21	3	17	6	0	14	9	0	7	20	12	0	6	0	20	0	16	6	0	13	19	0	10	9	0	5	11	0	10	5	22	0	2	10	15	0	0	3	17	5	9	0	15	11	8	6	9	10	9	12	0	24	0	16	20	12	12	0	17	0	15	0	12	2	4	6	4	7	0	8	4	18	4	2	9	1	8	9	0	0	17	12	12	0	9	5	16	9	0	7	8	0	10	0	10	0	17	14	13	0	0	14	6	10	11	0	4	10	0	0	18	13	2	10	6	14	15	9	11	0	6	11	3	0	8	0	2	0	10	7	6	14	14	0	0	0	5	8	0	0	0	10	0	21	9	23	0	10	0
5	11	13	10	6	9	4	0	13	4	0	9	11	0	24	9	11	0	0	0	3	13	0	0	13	14	12	11	0	0	10	12	0	0	1	0	9	11	0	13	0	10	15	12	8	0	0	0	2	0	6	8	0	0	11	0	0	11	12	11	0	20	0	18	3	0	0	14	8	7	0	2	11	13	10	15	11	13	14	16	16	10	0	10	8	14	14	0	0	8	4	5	14	2	18	18	6	14	7	13	3	16	8	13	0	0	8	12	0	0	0	13	0	1	13	0	17	0	7	6	5	8	2	13	14	6	17	8	11	7	14	12	0	10	17	8	1	0	17	8	0	4	11	0	0	4	0	21	0	6	7	13	9	0	6	14	7	0	9	0	0	3	11	0	0	2	3	0	5	14	8	9	11	15	6	0	9	0	12	12	7	0	0	13	14	18	11	6	19	15	0	10	5	0	11	0	0	14	7	3	10	9	9	8	0	0	0	4	7	12	13	13	9	9	3	4	7	12	10	17	6	13	14	11	0	13	0	8	15	0	11	12	9	17	9	19	9	15	15
6	14	0	13	4	9	8	6	6	22	13	17	14	0	5	2	5	7	19	11	15	0	0	11	0	12	0	14	4	0	14	1	9	10	11	10	0	7	5	10	17	12	17	0	9	0	9	0	10	15	0	12	0	0	4	0	11	6	9	15	6	5	10	0	21	18	0	0	0	18	13	0	8	9	0	10	18	13	0	11	4	8	4	6	8	11	7	14	0	20	8	0	10	0	8	14	0	16	6	12	0	5	7	0	0	0	9	9	8	7	13	4	11	19	13	9	0	0	13	0	11	0	13	3	9	2	0	16	9	4	14	0	6	0	8	12	12	12	0	3	0	0	13	18	11	0	14	7	0	0	12	0	7	21	0	0	0	0	5	0	4	17	12	18	0	4	9	0	14	5	16	17	21	14	0	6	12	16	0	13	24	7	6	15	8	11	6	0	18	10	0	0	14	8	11	0	10	0	0	0	8	0	0	0	5	10	9	0	11	2	18	8	12	0	16	0	2	12	0	0	6	10	0	0	0	11	0	0	11	0	0	9	19	19	0	14	1	10	9
7	0	0	6	7	4	0	4	1	15	0	0	0	0	0	0	0	13	0	5	11	10	6	2	17	5	5	2	0	2	0	4	4	0	0	0	10	0	0	8	0	8	8	5	17	14	7	0	0	7	0	10	0	12	6	6	14	0	4	0	0	16	0	0	0	12	8	13	0	10	13	6	11	13	20	6	7	9	0	6	11	2	0	13	15	11	14	7	10	0	9	16	13	9	0	0	11	10	10	0	9	9	8	0	13	8	6	20	7	16	10	0	0	0	15	2	9	16	1	1	11	14	0	9	0	0	0	7	9	15	0	13	12	0	0	12	0	5	8	12	11	6	7	9	9	0	13	0	10	1	12	0	17	0	18	3	6	20	15	7	10	14	11	8	15	7	11	0	10	6	3	0	16	7	0	10	9	11	0	11	17	14	7	12	0	17	12	14	0	15	22	14	13	9	21	3	10	0	16	15	4	13	8	15	4	2	11	0	7	14	6	13	3	0	10	0	6	10	9	15	6	0	0	8	0	0	11	3	2	0	11	7	16	19	1	12	4	10	13
8	7	1	4	0	7	0	6	6	11	0	15	5	6	14	0	0	8	2	0	0	0	13	11	16	13	11	12	14	20	14	13	8	0	10	0	12	0	0	10	11	12	4	7	11	16	14	0	13	0	0	12	10	0	3	13	0	0	14	0	10	12	9	5	0	11	6	0	1	25	6	11	0	6	17	0	0	0	13	0	11	0	6	6	15	0	7	0	6	0	0	0	9	11	13	10	7	0	5	15	2	0	0	7	14	14	2	5	13	0	12	0	0	0	10	0	4	8	0	9	19	3	21	15	0	13	0	3	0	1	6	10	7	7	0	9	5	0	17	10	6	0	8	0	0	5	15	14	0	3	12	21	15	9	0	10	0	0	10	6	0	0	9	0	0	8	0	2	3	10	19	14	9	10	0	0	0	7	0	10	2	7	14	0	0	6	8	15	18	21	0	7	15	0	0	12	0	13	0	13	10	4	8	9	8	0	11	0	0	12	15	14	4	0	0	0	2	8	0	0	0	10	13	9	13	11	15	17	0	0	0	15	0	15	8	0	5	0	12
9	7	8	0	2	0	6	8	12	1	0	14	16	0	4	5	11	13	12	0	15	10	13	0	8	2	3	11	15	10	11	11	0	13	0	7	12	8	15	5	0	0	7	12	0	10	11	13	14	1	0	11	7	10	0	16	12	8	10	0	5	0	9	9	0	0	13	13	15	7	0	9	4	0	4	12	0	0	11	4	10	0	0	2	0	0	10	9	8	10	0	12	16	14	7	0	14	0	11	0	0	4	8	12	7	20	6	8	7	8	7	0	14	13	7	8	0	3	12	0	0	8	6	19	2	9	13	8	0	0	9	7	0	10	0	0	14	0	11	0	7	2	15	13	7	15	0	0	14	4	9	7	2	16	14	17	11	9	0	1	0	14	13	16	13	3	11	8	0	24	12	14	0	7	5	17	11	0	12	11	0	6	14	0	0	11	8	14	15	20	0	13	10	10	19	8	8	4	14	9	3	10	17	12	3	0	16	14	5	5	9	15	11	6	8	17	9	13	17	13	0	12	0	0	0	0	0	6	16	16	0	10	10	12	15	12	9	11	8
