feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	proba	fdr	bayes_k
2	105	proteomics_3	metagenomics_6	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
82	101	proteomics_83	metagenomics_2	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
82	7	proteomics_83	proteomics_8	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
82	39	proteomics_83	proteomics_40	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
40	67	proteomics_41	proteomics_68	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
40	65	proteomics_41	proteomics_66	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
40	27	proteomics_41	proteomics_28	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
39	101	proteomics_40	metagenomics_2	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
39	82	proteomics_40	proteomics_83	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
34	64	proteomics_35	proteomics_65	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
39	77	proteomics_40	proteomics_78	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
1	98	proteomics_2	proteomics_99	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
39	7	proteomics_40	proteomics_8	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
39	1	proteomics_40	proteomics_2	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
83	7	proteomics_84	proteomics_8	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
1	101	proteomics_2	metagenomics_2	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
40	130	proteomics_41	metagenomics_31	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
82	1	proteomics_83	proteomics_2	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
40	139	proteomics_41	metagenomics_40	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
41	0	proteomics_42	proteomics_1	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
9	143	proteomics_10	metagenomics_44	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
81	127	proteomics_82	metagenomics_28	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
41	68	proteomics_42	proteomics_69	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
16	5	proteomics_17	proteomics_6	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
81	87	proteomics_82	proteomics_88	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
41	140	proteomics_42	metagenomics_41	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
9	98	proteomics_10	proteomics_99	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
42	1	proteomics_43	proteomics_2	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
42	9	proteomics_43	proteomics_10	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
81	63	proteomics_82	proteomics_64	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
42	35	proteomics_43	proteomics_36	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
42	65	proteomics_43	proteomics_66	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
0	68	proteomics_1	proteomics_69	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
83	14	proteomics_84	proteomics_15	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
83	16	proteomics_84	proteomics_17	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
38	36	proteomics_39	proteomics_37	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
35	50	proteomics_36	proteomics_51	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
34	92	proteomics_35	proteomics_93	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
34	101	proteomics_35	metagenomics_2	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
34	107	proteomics_35	metagenomics_8	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
34	112	proteomics_35	metagenomics_13	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
84	91	proteomics_85	proteomics_92	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
84	85	proteomics_85	proteomics_86	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
96	29	proteomics_97	proteomics_30	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
34	141	proteomics_35	metagenomics_42	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
96	31	proteomics_97	proteomics_32	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
35	9	proteomics_36	proteomics_10	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
84	67	proteomics_85	proteomics_68	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
96	36	proteomics_97	proteomics_37	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
35	42	proteomics_36	proteomics_43	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
96	38	proteomics_97	proteomics_39	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
35	98	proteomics_36	proteomics_99	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
38	31	proteomics_39	proteomics_32	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
35	138	proteomics_36	metagenomics_39	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
84	22	proteomics_85	proteomics_23	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
36	29	proteomics_37	proteomics_30	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
36	31	proteomics_37	proteomics_32	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
84	5	proteomics_85	proteomics_6	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
36	38	proteomics_37	proteomics_39	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
36	96	proteomics_37	proteomics_97	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
83	127	proteomics_84	metagenomics_28	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
83	96	proteomics_84	proteomics_97	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
37	94	proteomics_38	proteomics_95	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
37	97	proteomics_38	proteomics_98	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
96	83	proteomics_97	proteomics_84	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
37	140	proteomics_38	metagenomics_41	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
38	29	proteomics_39	proteomics_30	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
42	98	proteomics_43	proteomics_99	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
42	145	proteomics_43	metagenomics_46	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
9	61	proteomics_10	proteomics_62	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
7	83	proteomics_8	proteomics_84	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
48	17	proteomics_49	proteomics_18	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
48	46	proteomics_49	proteomics_47	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
8	19	proteomics_9	proteomics_20	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
48	135	proteomics_49	metagenomics_36	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
7	145	proteomics_8	metagenomics_46	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
78	76	proteomics_79	proteomics_77	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
7	127	proteomics_8	metagenomics_28	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
49	53	proteomics_50	proteomics_54	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
49	102	proteomics_50	metagenomics_3	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
97	133	proteomics_98	metagenomics_34	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
50	30	proteomics_51	proteomics_31	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
78	12	proteomics_79	proteomics_13	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
78	11	proteomics_79	proteomics_12	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
50	35	proteomics_51	proteomics_36	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
7	82	proteomics_8	proteomics_83	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
79	20	proteomics_80	proteomics_21	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
50	116	proteomics_51	metagenomics_17	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
50	128	proteomics_51	metagenomics_29	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
98	1	proteomics_99	proteomics_2	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	-18.420680753952368
50	138	proteomics_51	metagenomics_39	random.realistic.metagenomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
51	13	proteomics_52	proteomics_14	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
51	15	proteomics_52	proteomics_16	random.realistic.proteomics	0.9999999900000002	9.999999828202988e-09	18.420680753952368
