feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
78	76	proteomics_79	proteomics_77	random.realistic.proteomics	0.1549333333333333
76	78	proteomics_77	proteomics_79	random.realistic.proteomics	0.15013333333333334
70	44	proteomics_71	proteomics_45	random.realistic.proteomics	0.14353333333333335
23	57	proteomics_24	proteomics_58	random.realistic.proteomics	-0.13826666666666665
57	23	proteomics_58	proteomics_24	random.realistic.proteomics	-0.13140000000000002
64	107	proteomics_65	metagenomics_8	random.realistic.metagenomics	0.1307333333333333
4	131	proteomics_5	metagenomics_32	random.realistic.metagenomics	0.1277333333333333
74	129	proteomics_75	metagenomics_30	random.realistic.metagenomics	-0.12706666666666666
17	48	proteomics_18	proteomics_49	random.realistic.proteomics	-0.12193333333333334
82	39	proteomics_83	proteomics_40	random.realistic.proteomics	0.11933333333333333
75	14	proteomics_76	proteomics_15	random.realistic.proteomics	0.11893333333333334
44	70	proteomics_45	proteomics_71	random.realistic.proteomics	0.11726666666666666
55	132	proteomics_56	metagenomics_33	random.realistic.metagenomics	0.11499999999999999
56	44	proteomics_57	proteomics_45	random.realistic.proteomics	0.11446666666666666
61	143	proteomics_62	metagenomics_44	random.realistic.metagenomics	0.11433333333333334
73	104	proteomics_74	metagenomics_5	random.realistic.metagenomics	0.11366666666666667
20	79	proteomics_21	proteomics_80	random.realistic.proteomics	0.11193333333333333
48	17	proteomics_49	proteomics_18	random.realistic.proteomics	-0.11166666666666666
44	56	proteomics_45	proteomics_57	random.realistic.proteomics	0.11126666666666667
15	103	proteomics_16	metagenomics_4	random.realistic.metagenomics	0.1108
70	77	proteomics_71	proteomics_78	random.realistic.proteomics	0.10966666666666666
24	66	proteomics_25	proteomics_67	random.realistic.proteomics	0.10893333333333333
14	75	proteomics_15	proteomics_76	random.realistic.proteomics	0.1084
18	32	proteomics_19	proteomics_33	random.realistic.proteomics	0.1084
66	24	proteomics_67	proteomics_25	random.realistic.proteomics	0.1078
39	77	proteomics_40	proteomics_78	random.realistic.proteomics	-0.1072
29	31	proteomics_30	proteomics_32	random.realistic.proteomics	-0.10653333333333334
