feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	p_value
0	0	proteomics_1	proteomics_1	random.realistic.proteomics	0.0
0	1	proteomics_1	proteomics_2	random.realistic.proteomics	1.0811762141388652e-68
0	2	proteomics_1	proteomics_3	random.realistic.proteomics	3.155803054048729e-44
0	3	proteomics_1	proteomics_4	random.realistic.proteomics	2.0478718052222856e-129
0	4	proteomics_1	proteomics_5	random.realistic.proteomics	2.572340206568468e-17
0	5	proteomics_1	proteomics_6	random.realistic.proteomics	0.0
0	6	proteomics_1	proteomics_7	random.realistic.proteomics	1.8962413705527205e-43
0	7	proteomics_1	proteomics_8	random.realistic.proteomics	4.278101857905199e-63
0	8	proteomics_1	proteomics_9	random.realistic.proteomics	7.943207972930477e-32
0	9	proteomics_1	proteomics_10	random.realistic.proteomics	2.1863432402445925e-55
0	10	proteomics_1	proteomics_11	random.realistic.proteomics	1.5982543185022586e-98
0	11	proteomics_1	proteomics_12	random.realistic.proteomics	4.067561933587474e-87
0	12	proteomics_1	proteomics_13	random.realistic.proteomics	5.729179167547655e-43
0	13	proteomics_1	proteomics_14	random.realistic.proteomics	4.767251903516751e-188
0	14	proteomics_1	proteomics_15	random.realistic.proteomics	1.1325459996887123e-61
0	15	proteomics_1	proteomics_16	random.realistic.proteomics	2.425914840783173e-63
0	16	proteomics_1	proteomics_17	random.realistic.proteomics	9.674655435053037e-121
0	17	proteomics_1	proteomics_18	random.realistic.proteomics	9.904605212897649e-57
0	18	proteomics_1	proteomics_19	random.realistic.proteomics	1.729631734861902e-38
0	19	proteomics_1	proteomics_20	random.realistic.proteomics	4.164483790984923e-21
0	20	proteomics_1	proteomics_21	random.realistic.proteomics	5.799885656387025e-55
0	21	proteomics_1	proteomics_22	random.realistic.proteomics	3.4475509405950704e-21
0	22	proteomics_1	proteomics_23	random.realistic.proteomics	4.5776847598385133e-184
0	23	proteomics_1	proteomics_24	random.realistic.proteomics	7.522357732154427e-39
0	24	proteomics_1	proteomics_25	random.realistic.proteomics	6.0912764559529105e-230
0	25	proteomics_1	proteomics_26	random.realistic.proteomics	1.2572190108527039e-67
0	26	proteomics_1	proteomics_27	random.realistic.proteomics	1.358832521139635e-21
0	27	proteomics_1	proteomics_28	random.realistic.proteomics	1.8877215355493634e-44
0	28	proteomics_1	proteomics_29	random.realistic.proteomics	1.2009305531415699e-65
0	29	proteomics_1	proteomics_30	random.realistic.proteomics	4.776583981731084e-113
0	30	proteomics_1	proteomics_31	random.realistic.proteomics	2.026936236659569e-99
0	31	proteomics_1	proteomics_32	random.realistic.proteomics	1.8915449114831415e-132
0	32	proteomics_1	proteomics_33	random.realistic.proteomics	1.0955297849679045e-58
0	33	proteomics_1	proteomics_34	random.realistic.proteomics	6.017717936703553e-107
0	34	proteomics_1	proteomics_35	random.realistic.proteomics	2.877662456906048e-22
0	35	proteomics_1	proteomics_36	random.realistic.proteomics	2.039584283283647e-59
0	36	proteomics_1	proteomics_37	random.realistic.proteomics	5.6514247726569966e-127
0	37	proteomics_1	proteomics_38	random.realistic.proteomics	0.0
0	38	proteomics_1	proteomics_39	random.realistic.proteomics	3.573246345475294e-191
