ID	untargeted_metabolomics_1	untargeted_metabolomics_2	untargeted_metabolomics_3	untargeted_metabolomics_4	untargeted_metabolomics_5	untargeted_metabolomics_6	untargeted_metabolomics_7	untargeted_metabolomics_8	untargeted_metabolomics_9	untargeted_metabolomics_10	untargeted_metabolomics_11	untargeted_metabolomics_12	untargeted_metabolomics_13	untargeted_metabolomics_14	untargeted_metabolomics_15	untargeted_metabolomics_16	untargeted_metabolomics_17	untargeted_metabolomics_18	untargeted_metabolomics_19	untargeted_metabolomics_20	untargeted_metabolomics_21	untargeted_metabolomics_22	untargeted_metabolomics_23	untargeted_metabolomics_24	untargeted_metabolomics_25	untargeted_metabolomics_26	untargeted_metabolomics_27	untargeted_metabolomics_28	untargeted_metabolomics_29	untargeted_metabolomics_30	untargeted_metabolomics_31	untargeted_metabolomics_32	untargeted_metabolomics_33	untargeted_metabolomics_34	untargeted_metabolomics_35	untargeted_metabolomics_36	untargeted_metabolomics_37	untargeted_metabolomics_38	untargeted_metabolomics_39	untargeted_metabolomics_40	untargeted_metabolomics_41	untargeted_metabolomics_42	untargeted_metabolomics_43	untargeted_metabolomics_44	untargeted_metabolomics_45	untargeted_metabolomics_46	untargeted_metabolomics_47	untargeted_metabolomics_48	untargeted_metabolomics_49	untargeted_metabolomics_50	untargeted_metabolomics_51	untargeted_metabolomics_52	untargeted_metabolomics_53	untargeted_metabolomics_54	untargeted_metabolomics_55	untargeted_metabolomics_56	untargeted_metabolomics_57	untargeted_metabolomics_58	untargeted_metabolomics_59	untargeted_metabolomics_60	untargeted_metabolomics_61	untargeted_metabolomics_62	untargeted_metabolomics_63	untargeted_metabolomics_64	untargeted_metabolomics_65	untargeted_metabolomics_66	untargeted_metabolomics_67	untargeted_metabolomics_68	untargeted_metabolomics_69	untargeted_metabolomics_70	untargeted_metabolomics_71	untargeted_metabolomics_72	untargeted_metabolomics_73	untargeted_metabolomics_74	untargeted_metabolomics_75	untargeted_metabolomics_76	untargeted_metabolomics_77	untargeted_metabolomics_78	untargeted_metabolomics_79	untargeted_metabolomics_80	untargeted_metabolomics_81	untargeted_metabolomics_82	untargeted_metabolomics_83	untargeted_metabolomics_84	untargeted_metabolomics_85	untargeted_metabolomics_86	untargeted_metabolomics_87	untargeted_metabolomics_88	untargeted_metabolomics_89	untargeted_metabolomics_90	untargeted_metabolomics_91	untargeted_metabolomics_92	untargeted_metabolomics_93	untargeted_metabolomics_94	untargeted_metabolomics_95	untargeted_metabolomics_96	untargeted_metabolomics_97	untargeted_metabolomics_98	untargeted_metabolomics_99	untargeted_metabolomics_100	untargeted_metabolomics_101	untargeted_metabolomics_102	untargeted_metabolomics_103	untargeted_metabolomics_104	untargeted_metabolomics_105	untargeted_metabolomics_106	untargeted_metabolomics_107	untargeted_metabolomics_108	untargeted_metabolomics_109	untargeted_metabolomics_110	untargeted_metabolomics_111	untargeted_metabolomics_112	untargeted_metabolomics_113	untargeted_metabolomics_114	untargeted_metabolomics_115	untargeted_metabolomics_116	untargeted_metabolomics_117	untargeted_metabolomics_118	untargeted_metabolomics_119	untargeted_metabolomics_120	untargeted_metabolomics_121	untargeted_metabolomics_122	untargeted_metabolomics_123	untargeted_metabolomics_124	untargeted_metabolomics_125	untargeted_metabolomics_126	untargeted_metabolomics_127	untargeted_metabolomics_128	untargeted_metabolomics_129	untargeted_metabolomics_130	untargeted_metabolomics_131	untargeted_metabolomics_132	untargeted_metabolomics_133	untargeted_metabolomics_134	untargeted_metabolomics_135	untargeted_metabolomics_136	untargeted_metabolomics_137	untargeted_metabolomics_138	untargeted_metabolomics_139	untargeted_metabolomics_140	untargeted_metabolomics_141	untargeted_metabolomics_142	untargeted_metabolomics_143	untargeted_metabolomics_144	untargeted_metabolomics_145	untargeted_metabolomics_146	untargeted_metabolomics_147	untargeted_metabolomics_148	untargeted_metabolomics_149	untargeted_metabolomics_150	untargeted_metabolomics_151	untargeted_metabolomics_152	untargeted_metabolomics_153	untargeted_metabolomics_154	untargeted_metabolomics_155	untargeted_metabolomics_156	untargeted_metabolomics_157	untargeted_metabolomics_158	untargeted_metabolomics_159	untargeted_metabolomics_160	untargeted_metabolomics_161	untargeted_metabolomics_162	untargeted_metabolomics_163	untargeted_metabolomics_164	untargeted_metabolomics_165	untargeted_metabolomics_166	untargeted_metabolomics_167	untargeted_metabolomics_168	untargeted_metabolomics_169	untargeted_metabolomics_170	untargeted_metabolomics_171	untargeted_metabolomics_172	untargeted_metabolomics_173	untargeted_metabolomics_174	untargeted_metabolomics_175	untargeted_metabolomics_176	untargeted_metabolomics_177	untargeted_metabolomics_178	untargeted_metabolomics_179	untargeted_metabolomics_180	untargeted_metabolomics_181	untargeted_metabolomics_182	untargeted_metabolomics_183	untargeted_metabolomics_184	untargeted_metabolomics_185	untargeted_metabolomics_186	untargeted_metabolomics_187	untargeted_metabolomics_188	untargeted_metabolomics_189	untargeted_metabolomics_190	untargeted_metabolomics_191	untargeted_metabolomics_192	untargeted_metabolomics_193	untargeted_metabolomics_194	untargeted_metabolomics_195	untargeted_metabolomics_196	untargeted_metabolomics_197	untargeted_metabolomics_198	untargeted_metabolomics_199	untargeted_metabolomics_200	untargeted_metabolomics_201	untargeted_metabolomics_202	untargeted_metabolomics_203	untargeted_metabolomics_204	untargeted_metabolomics_205	untargeted_metabolomics_206	untargeted_metabolomics_207	untargeted_metabolomics_208	untargeted_metabolomics_209	untargeted_metabolomics_210	untargeted_metabolomics_211	untargeted_metabolomics_212	untargeted_metabolomics_213	untargeted_metabolomics_214	untargeted_metabolomics_215	untargeted_metabolomics_216	untargeted_metabolomics_217	untargeted_metabolomics_218	untargeted_metabolomics_219	untargeted_metabolomics_220	untargeted_metabolomics_221	untargeted_metabolomics_222	untargeted_metabolomics_223	untargeted_metabolomics_224	untargeted_metabolomics_225	untargeted_metabolomics_226	untargeted_metabolomics_227	untargeted_metabolomics_228	untargeted_metabolomics_229	untargeted_metabolomics_230	untargeted_metabolomics_231	untargeted_metabolomics_232	untargeted_metabolomics_233	untargeted_metabolomics_234	untargeted_metabolomics_235	untargeted_metabolomics_236	untargeted_metabolomics_237	untargeted_metabolomics_238
0	18	0	13	10	7	10	11	2	0	12	6	8	0	10	4	19	17	7	15	14	20	18	15	0	8	10	12	18	0	6	1	9	0	0	0	19	11	13	0	9	0	14	5	12	4	0	0	11	13	20	0	11	9	19	0	13	4	7	0	22	0	0	0	13	13	0	13	12	16	21	5	0	25	9	12	0	16	11	10	0	13	10	14	6	13	0	0	11	6	6	4	0	6	0	0	0	6	0	0	0	14	8	18	0	1	9	5	2	21	14	12	7	7	12	10	18	2	4	7	4	6	9	0	0	1	0	9	0	0	8	9	15	8	0	15	10	0	8	14	1	9	16	0	7	0	13	0	13	0	0	12	11	5	11	0	1	0	0	3	0	10	7	0	0	8	11	7	11	0	8	2	11	8	10	0	10	0	13	10	11	12	0	12	13	0	8	10	8	14	10	7	16	10	8	4	11	9	0	15	16	8	4	1	6	23	12	8	2	0	10	16	0	8	0	0	0	0	13	8	12	10	0	9	4	2	6	4	1	0	1	0	5	0	7	9	4	0	0
1	9	0	14	7	7	16	0	9	0	4	0	0	0	5	16	15	15	0	0	4	0	0	10	16	0	20	0	0	11	7	0	9	10	23	11	0	0	16	6	6	0	5	9	2	8	11	5	11	14	3	12	12	0	0	12	0	14	4	12	0	7	12	0	13	12	0	17	0	19	0	19	17	0	12	16	12	0	0	9	8	0	16	7	0	8	12	13	0	9	12	16	8	4	0	0	0	16	5	8	14	10	9	17	10	3	0	9	0	22	0	11	8	9	14	14	5	0	0	0	15	7	0	13	0	6	15	5	8	6	14	0	19	14	13	0	11	3	9	8	11	3	0	12	5	6	11	15	8	16	0	0	0	6	12	0	11	18	11	14	18	16	9	0	13	8	0	12	8	6	14	0	5	14	0	0	7	18	0	12	18	15	0	10	5	10	15	8	0	6	10	14	0	0	10	9	6	8	8	12	6	0	0	10	4	20	12	0	14	6	0	13	2	0	25	11	0	18	5	17	0	14	0	8	0	14	10	0	11	7	0	20	0	0	11	0	2	0	0
2	14	10	8	0	14	4	0	12	11	9	0	0	2	12	13	13	0	8	9	13	9	10	0	10	13	8	7	11	18	8	8	12	23	0	0	9	10	0	8	27	0	13	0	8	0	12	0	14	0	7	7	0	0	0	12	13	14	0	2	3	9	13	17	0	19	3	13	0	5	13	7	0	0	21	11	0	16	9	0	11	13	15	0	1	7	0	11	9	13	1	0	6	1	11	8	11	5	0	14	13	0	14	6	0	20	13	0	0	0	8	19	0	0	16	14	7	0	7	3	19	18	8	11	9	14	2	0	9	4	0	13	10	19	0	14	4	13	0	7	9	4	17	12	10	0	0	9	0	0	15	13	8	13	0	2	14	8	0	12	12	12	10	12	12	15	0	0	0	8	23	0	0	9	19	0	1	10	10	16	0	0	0	2	15	14	9	9	12	14	8	0	9	6	0	0	7	11	0	0	18	0	0	17	14	0	0	14	7	10	0	0	0	0	11	12	14	9	9	10	13	11	6	11	6	10	16	11	21	15	0	10	13	8	5	0	14	0	0
3	5	14	4	0	8	9	18	0	8	0	15	6	12	6	12	13	10	3	1	0	10	1	9	10	0	16	0	14	7	0	13	7	0	10	0	14	0	0	9	8	8	9	0	8	4	0	13	16	11	0	7	16	11	5	0	5	6	7	16	0	16	0	10	0	15	0	11	21	11	9	0	0	14	0	1	0	13	5	12	12	8	0	14	0	1	2	14	8	11	11	2	8	0	9	14	6	10	0	3	11	10	9	10	23	0	0	7	8	5	0	0	5	0	4	2	10	0	4	0	10	13	13	10	11	4	0	21	0	0	3	11	0	0	14	11	17	7	12	13	0	10	4	0	4	21	0	0	10	10	0	0	0	0	0	0	9	0	1	0	0	0	13	22	14	0	11	0	13	9	6	10	7	9	4	0	2	10	14	3	18	11	0	14	18	10	12	6	5	15	6	4	12	0	0	0	15	4	0	12	19	0	4	11	0	11	12	9	6	17	0	0	9	8	13	9	0	15	0	9	0	10	11	18	10	15	0	4	0	0	0	8	1	0	15	0	0	0	0
4	13	0	8	0	9	5	11	10	15	4	11	6	13	4	5	0	12	0	17	0	0	0	5	13	11	15	14	16	16	5	9	17	11	8	18	11	15	0	0	25	5	0	9	5	0	0	11	9	21	16	13	17	0	0	5	0	14	20	0	0	8	0	13	2	10	0	21	11	1	0	8	13	8	2	0	0	0	11	0	5	0	1	0	2	0	0	11	9	0	3	0	5	9	10	12	0	7	1	17	2	0	9	9	1	10	13	9	13	0	9	9	17	5	4	10	12	10	0	0	15	1	8	12	6	11	10	0	7	12	1	0	6	0	4	0	5	9	5	15	0	7	7	0	0	20	7	7	4	3	0	3	0	7	0	6	0	8	0	11	6	3	8	0	14	18	13	3	15	11	0	12	12	0	0	12	0	9	15	11	4	0	14	15	8	13	10	11	0	9	12	11	11	0	8	9	0	0	0	2	0	0	1	0	0	14	4	4	0	0	6	17	9	0	0	6	0	4	0	4	0	7	0	18	0	0	11	0	17	7	0	16	14	7	13	14	13	8	7
5	0	13	15	4	0	11	12	9	5	6	0	1	8	0	7	2	0	8	0	0	13	0	6	5	14	0	15	0	11	0	0	13	0	4	1	0	8	16	0	12	21	13	0	6	0	0	12	0	11	9	0	0	0	8	0	13	3	8	0	0	10	0	11	0	0	0	7	0	15	13	19	0	0	7	13	23	7	5	10	0	10	0	7	14	6	0	0	10	7	6	13	17	16	0	10	0	0	14	7	14	12	0	0	0	0	5	14	0	0	15	13	17	12	8	0	13	0	11	11	8	0	10	9	14	13	0	0	0	19	2	0	7	7	9	13	0	14	8	13	7	1	10	0	0	0	0	21	3	15	16	8	3	11	13	0	13	6	10	9	16	15	0	0	13	4	8	0	0	0	13	4	6	6	12	4	0	8	2	0	17	26	0	16	11	13	17	11	8	0	5	15	0	7	11	0	8	8	8	10	11	0	10	4	8	3	6	20	12	0	10	0	0	7	0	17	14	11	0	2	0	14	15	23	4	3	15	0	4	0	9	0	0	10	10	0	9	22	5
6	0	8	0	8	6	17	15	0	4	0	0	11	0	0	0	0	9	0	17	0	12	8	0	11	6	12	11	0	18	10	11	12	6	0	7	0	19	14	11	10	1	0	9	11	0	9	12	17	0	11	0	8	0	0	7	0	0	10	10	19	10	7	17	0	11	0	5	0	8	13	0	0	0	0	8	15	13	2	13	14	0	13	17	1	8	14	10	6	18	0	0	0	6	8	6	0	0	20	14	0	13	6	13	12	14	19	0	0	9	8	0	7	0	4	0	12	0	6	7	10	15	4	12	8	0	8	6	6	15	0	4	0	11	0	18	0	7	11	16	7	14	6	20	13	3	10	0	16	12	14	10	12	4	4	0	0	10	0	0	0	0	0	7	0	1	0	8	11	8	0	4	7	8	0	15	9	7	13	16	17	16	18	7	15	0	0	4	8	9	8	0	7	12	15	0	10	14	10	12	0	8	5	0	0	14	7	2	0	6	0	0	12	11	0	0	8	0	10	14	5	13	16	0	11	9	9	0	7	13	0	13	4	8	14	0	4	13	16
7	16	8	0	19	3	8	0	0	19	0	11	0	5	0	4	0	11	15	13	18	0	15	0	12	0	8	10	18	5	0	17	0	16	3	11	11	0	13	23	3	0	10	0	0	13	15	0	3	8	15	0	10	10	5	15	12	16	1	17	17	0	5	9	9	3	6	0	9	9	6	0	0	11	7	5	9	0	11	0	10	9	6	19	7	0	12	0	14	9	9	4	0	0	12	18	13	0	0	14	0	0	12	7	12	0	11	0	16	13	8	0	13	11	0	8	14	0	0	15	15	10	7	0	9	6	7	0	10	8	8	1	16	7	11	3	9	0	10	9	0	7	5	0	12	7	11	7	7	6	10	13	2	0	0	3	17	0	14	0	0	0	0	2	14	8	5	0	5	0	0	0	0	9	0	0	9	0	0	3	0	13	3	10	12	0	10	7	4	0	0	5	1	9	14	14	3	10	8	9	12	0	1	0	9	0	0	0	17	0	23	0	6	5	0	11	2	5	16	0	12	10	0	0	1	8	13	4	9	0	21	5	3	12	14	16	0	15	6
8	9	0	20	0	0	10	13	0	0	6	18	0	18	21	0	11	5	13	22	5	0	5	6	17	0	8	9	16	0	7	6	15	10	9	18	0	18	14	18	15	10	0	0	8	11	5	6	16	9	2	7	24	5	1	10	11	0	16	0	10	18	7	0	14	7	8	0	13	0	17	5	9	4	0	10	7	2	0	4	15	11	15	16	8	11	6	7	0	0	20	15	7	12	2	9	12	10	7	0	15	0	22	0	20	0	14	11	0	10	0	8	0	14	19	6	14	11	17	15	8	8	11	3	4	10	0	0	9	5	4	0	11	0	10	17	21	15	4	16	9	13	4	9	17	14	13	11	9	15	0	5	12	8	2	0	3	0	3	7	0	16	9	7	10	17	8	12	0	0	10	15	0	0	6	9	8	24	7	1	0	13	0	12	0	0	0	17	0	0	0	19	0	12	8	17	12	13	0	8	14	0	0	13	0	10	15	10	13	0	9	8	17	13	6	6	11	13	0	0	4	0	0	9	8	14	16	14	0	0	0	12	7	10	0	0	10	1	15
9	16	12	12	16	9	19	0	0	9	9	11	10	0	8	3	0	18	0	19	0	3	11	0	10	9	10	0	11	11	4	0	8	13	0	3	20	0	0	3	16	0	9	11	4	3	0	11	14	12	11	11	3	0	5	0	4	10	12	10	0	1	8	0	10	0	16	15	10	10	4	7	9	0	5	0	0	2	0	0	11	15	12	15	0	0	10	15	13	14	7	18	11	7	11	5	6	13	14	0	0	20	0	0	0	15	12	0	15	15	8	0	0	10	4	7	9	15	6	5	0	20	0	6	7	6	4	9	10	8	0	12	0	15	0	9	0	11	11	0	3	18	17	13	0	1	18	1	0	13	0	0	16	15	8	13	22	0	0	11	13	0	6	0	0	0	0	0	4	3	0	11	8	17	11	14	0	0	6	8	0	4	16	16	13	0	17	11	11	0	13	11	11	3	10	0	0	18	14	0	14	10	11	10	10	9	12	0	14	9	0	0	14	8	21	10	10	0	0	1	4	18	0	8	0	15	15	14	13	9	0	9	8	0	12	0	16	0	7
