feature_a_id	feature_b_id	feature_a_name	feature_b_name	Correlation
144	137	metagenomics_45	metagenomics_38	0.9984881263682859
129	74	metagenomics_30	proteomics_75	0.9978774288618397
57	23	proteomics_58	proteomics_24	0.997104995657567
131	4	metagenomics_32	proteomics_5	-0.9965623915937531
98	42	proteomics_99	proteomics_43	-0.9964084671116128
143	61	metagenomics_44	proteomics_62	-0.9915507263066077
120	89	metagenomics_21	proteomics_90	-0.9783591335256043
138	50	metagenomics_39	proteomics_51	0.9695190427738284
137	125	metagenomics_38	metagenomics_26	0.9686508203683579
144	125	metagenomics_45	metagenomics_26	0.9672638829493097
107	64	metagenomics_8	proteomics_65	-0.9575365503289115
31	29	proteomics_32	proteomics_30	0.9398907690861749
66	24	proteomics_67	proteomics_25	-0.9171711799125701
104	73	metagenomics_5	proteomics_74	-0.9054239639865835
142	54	metagenomics_43	proteomics_55	-0.8643840580662678
126	94	metagenomics_27	proteomics_95	0.8570084955073644
141	101	metagenomics_42	metagenomics_2	-0.8563184086795718
141	6	metagenomics_42	proteomics_7	0.8504712743800702
43	24	proteomics_44	proteomics_25	-0.8365034376733522
108	60	metagenomics_9	proteomics_61	-0.817318871389906
42	9	proteomics_43	proteomics_10	0.8040591026594381
98	9	proteomics_99	proteomics_10	-0.8009702324214232
82	1	proteomics_83	proteomics_2	-0.8000665411780811
59	26	proteomics_60	proteomics_27	0.7986137518502492
32	18	proteomics_33	proteomics_19	-0.7859766946088134
100	94	metagenomics_1	proteomics_95	-0.7802939331408747
66	43	proteomics_67	proteomics_44	0.7696738112900134
87	81	proteomics_88	proteomics_82	0.7690623043622693
148	52	metagenomics_49	proteomics_53	-0.7664517670734401
103	15	metagenomics_4	proteomics_16	-0.7515473417705019
82	39	proteomics_83	proteomics_40	-0.7495011416930799
147	60	metagenomics_48	proteomics_61	-0.7455253339424314
78	76	proteomics_79	proteomics_77	-0.7386306420094215
90	89	proteomics_91	proteomics_90	-0.7366369034044689
148	20	metagenomics_49	proteomics_21	0.7309737518915089
71	60	proteomics_72	proteomics_61	-0.7295811340692228
101	6	metagenomics_2	proteomics_7	-0.7234828466490326
120	90	metagenomics_21	proteomics_91	0.7222272572903103
99	94	proteomics_100	proteomics_95	-0.7191507123399121
132	55	metagenomics_33	proteomics_56	-0.7094228692658606
99	37	proteomics_100	proteomics_38	0.6917510459144552
131	55	metagenomics_32	proteomics_56	-0.6819625011663597
149	142	metagenomics_50	metagenomics_43	-0.6797446147815099
55	4	proteomics_56	proteomics_5	0.6780150861508774
143	20	metagenomics_44	proteomics_21	-0.6700401472883228
132	85	metagenomics_33	proteomics_86	0.6677607833874617
61	20	proteomics_62	proteomics_21	0.6653994322884434
126	100	metagenomics_27	metagenomics_1	-0.6638142011809789
110	8	metagenomics_11	proteomics_9	0.6632519123685547
147	89	metagenomics_48	proteomics_90	0.6557239410560642
129	68	metagenomics_30	proteomics_69	-0.6531007526195398
77	39	proteomics_78	proteomics_40	0.6520790382153802
141	92	metagenomics_42	proteomics_93	0.6516914096893484
74	68	proteomics_75	proteomics_69	-0.6513428261031673
102	21	metagenomics_3	proteomics_22	-0.6437522238008423
147	120	metagenomics_48	metagenomics_21	-0.6383774610025507
107	46	metagenomics_8	proteomics_47	-0.637263670492578
109	104	metagenomics_10	metagenomics_5	-0.6325569056493106
147	108	metagenomics_48	metagenomics_9	0.6218215307811501
143	100	metagenomics_44	metagenomics_1	0.6203445872409961
128	50	metagenomics_29	proteomics_51	-0.6199634150594958
126	99	metagenomics_27	proteomics_100	-0.6160693725494216
100	61	metagenomics_1	proteomics_62	-0.6160314409625645
64	46	proteomics_65	proteomics_47	0.6142364295314464
95	59	proteomics_96	proteomics_60	-0.6113156139167851
118	21	metagenomics_19	proteomics_22	0.60715081309026
138	128	metagenomics_39	metagenomics_29	-0.6071231274531481
133	116	metagenomics_34	metagenomics_17	-0.6061828727361462
42	35	proteomics_43	proteomics_36	0.6060239499479833
127	81	metagenomics_28	proteomics_82	0.6055717115582535
59	19	proteomics_60	proteomics_20	-0.6050210303811627
98	35	proteomics_99	proteomics_36	-0.6048736949708944
39	1	proteomics_40	proteomics_2	0.6037167231614573
112	93	metagenomics_13	proteomics_94	0.6032283278682
129	2	metagenomics_30	proteomics_3	0.6001084741520011
149	54	metagenomics_50	proteomics_55	0.5992849602829377
108	71	metagenomics_9	proteomics_72	0.5989959659673509
34	32	proteomics_35	proteomics_33	-0.5988449120428889
74	2	proteomics_75	proteomics_3	0.5988049661655571
42	1	proteomics_43	proteomics_2	0.5970482514222581
143	9	metagenomics_44	proteomics_10	0.5966811301389142
98	1	proteomics_99	proteomics_2	-0.5950328456354225
91	5	proteomics_92	proteomics_6	-0.5947862093756128
89	8	proteomics_90	proteomics_9	-0.5938390776997804
141	34	metagenomics_42	proteomics_35	-0.5903265743443727
61	9	proteomics_62	proteomics_10	-0.5890920003469
79	20	proteomics_80	proteomics_21	-0.588185709239924
102	63	metagenomics_3	proteomics_64	-0.5856864068359626
108	104	metagenomics_9	metagenomics_5	0.5805920584476247
120	8	metagenomics_21	proteomics_9	0.5800911941816411
109	73	metagenomics_10	proteomics_74	0.5784410364016508
110	19	metagenomics_11	proteomics_20	0.577973577513972
60	26	proteomics_61	proteomics_27	0.5779075983185304
34	18	proteomics_35	proteomics_19	0.5682662019368152
100	99	metagenomics_1	proteomics_100	0.563776704281344
52	20	proteomics_53	proteomics_21	-0.5630219522891181
101	92	metagenomics_2	proteomics_93	-0.5610241872008248
112	32	metagenomics_13	proteomics_33	-0.5590565974711825
50	30	proteomics_51	proteomics_31	0.5561207769518206
48	17	proteomics_49	proteomics_18	0.5543959070685539
142	130	metagenomics_43	metagenomics_31	-0.5533061292996289
109	23	metagenomics_10	proteomics_24	-0.5522584624804745
141	122	metagenomics_42	metagenomics_23	-0.5511849313824458
129	87	metagenomics_30	proteomics_88	-0.5508319698100597
109	57	metagenomics_10	proteomics_58	-0.5504981763226982
87	74	proteomics_88	proteomics_75	-0.5501387934753763
141	119	metagenomics_42	metagenomics_20	-0.5501001952873639
92	6	proteomics_93	proteomics_7	0.5478301287222703
147	71	metagenomics_48	proteomics_72	0.5471067494197828
107	30	metagenomics_8	proteomics_31	0.5458122195316794
138	30	metagenomics_39	proteomics_31	0.5419532348139129
115	94	metagenomics_16	proteomics_95	0.5400812389455502
103	51	metagenomics_4	proteomics_52	-0.5391919650081991
82	7	proteomics_83	proteomics_8	-0.5377990919155109
108	73	metagenomics_9	proteomics_74	-0.5342945224963349
112	18	metagenomics_13	proteomics_19	0.5318107608604078
111	91	metagenomics_12	proteomics_92	0.5301980147774552
116	50	metagenomics_17	proteomics_51	-0.5299513145528275
96	31	proteomics_97	proteomics_32	-0.5225708570586607
70	44	proteomics_71	proteomics_45	-0.5215425756678895
138	116	metagenomics_39	metagenomics_17	-0.519592853320992
116	89	metagenomics_17	proteomics_90	-0.5134641498940012
101	34	metagenomics_2	proteomics_35	0.5053231814050874
40	27	proteomics_41	proteomics_28	0.5042680518055831
120	116	metagenomics_21	metagenomics_17	0.5002781872379232
34	6	proteomics_35	proteomics_7	-0.49928447135012155
123	89	metagenomics_24	proteomics_90	-0.4952284410012005
126	24	metagenomics_27	proteomics_25	-0.4943296178508819
114	105	metagenomics_15	metagenomics_6	-0.49149202773102274
109	75	metagenomics_10	proteomics_76	-0.4910515824946669
96	29	proteomics_97	proteomics_30	-0.4907450083949403
26	19	proteomics_27	proteomics_20	-0.49030535470148845
95	26	proteomics_96	proteomics_27	-0.48989050406283063
145	42	metagenomics_46	proteomics_43	-0.48618144594819657
135	17	metagenomics_36	proteomics_18	0.48586962614922696
91	80	proteomics_92	proteomics_81	-0.485508147808867
124	84	metagenomics_25	proteomics_85	0.4851688376316199
147	90	metagenomics_48	proteomics_91	-0.4851380398562273
35	9	proteomics_36	proteomics_10	0.48502721109472446
123	120	metagenomics_24	metagenomics_21	0.4846577796489093
145	98	metagenomics_46	proteomics_99	0.48462386274334934
130	54	metagenomics_31	proteomics_55	0.4846093252593998
101	82	metagenomics_2	proteomics_83	-0.4835294110557529
50	19	proteomics_51	proteomics_20	-0.4826705125838374
53	33	proteomics_54	proteomics_34	-0.48200126116324105
59	46	proteomics_60	proteomics_47	0.47976887986122
9	1	proteomics_10	proteomics_2	0.4791205624537978
118	58	metagenomics_19	proteomics_59	0.47814119705938746
89	52	proteomics_90	proteomics_53	-0.4770988093974514
122	101	metagenomics_23	metagenomics_2	0.4769391795786357
114	84	metagenomics_15	proteomics_85	0.4767075129329461
141	69	metagenomics_42	proteomics_70	-0.47605121632897895
89	51	proteomics_90	proteomics_52	-0.4745417200279866
148	79	metagenomics_49	proteomics_80	-0.4729954784470582
91	84	proteomics_92	proteomics_85	0.4725740610359055
122	6	metagenomics_23	proteomics_7	-0.47210892990589376
108	26	metagenomics_9	proteomics_27	-0.47183875169720435
138	19	metagenomics_39	proteomics_20	-0.47129137715962865
122	59	metagenomics_23	proteomics_60	-0.4712250653714881
118	88	metagenomics_19	proteomics_89	-0.4710149802562118
119	6	metagenomics_20	proteomics_7	-0.4707217623030464
127	87	metagenomics_28	proteomics_88	0.4677458865503895
119	101	metagenomics_20	metagenomics_2	0.4666437047564568
120	52	metagenomics_21	proteomics_53	0.46591853525192295
