n	drug	dataset	feature	effect	z_sampled	mean_value	sd_value	drug_feature	dataset_feature
1	2	2	140	-1.9705319086228235	6.11867777190606	8.089209680528883	1.0218541412347009	drugs_2	metagenomics_140
2	15	3	149	0.03136197838029808	9.9830108232108	9.951648844830501	1.000681231188588	drugs_15	proteomics_149
3	17	3	28	3.8129112066806634	13.743605775064752	9.930694568384089	0.999134939754827	drugs_17	proteomics_28
4	4	3	116	1.0161250546086755	10.998017290701581	9.981892236092905	1.0328552854743478	drugs_4	proteomics_116
5	15	2	274	-3.235721231018024	4.76823680673002	8.003958037748044	1.0127235413081814	drugs_15	metagenomics_274
6	5	2	724	0.6399939625764945	8.63623739476827	7.996243432191775	0.9961431972512983	drugs_5	metagenomics_724
7	19	2	687	0.949026174611256	8.88271894811016	7.933692773498904	0.9783934183690852	drugs_19	metagenomics_687
8	20	3	166	0.0012403949274339965	10.008655926138632	10.007415531211198	1.020391696060851	drugs_20	proteomics_166
9	1	2	898	1.6746793635219106	9.748110240275958	8.073430876754047	0.996988193041542	drugs_1	metagenomics_898
10	1	3	48	1.6521091980307414	11.612102661103428	9.959993463072687	1.059532644518226	drugs_1	proteomics_48
11	6	3	172	-3.1065039583166705	6.9078443989548255	10.014348357271496	1.0193147715973077	drugs_6	proteomics_172
12	7	2	838	-1.9707254471451519	6.029953526522616	8.000678973667767	0.9843262514241311	drugs_7	metagenomics_838
13	20	3	141	-2.8555515477469626	7.1028411895813885	9.958392737328351	1.0049217983528382	drugs_20	proteomics_141
14	18	2	804	2.608250876048924	10.648471236631986	8.040220360583062	1.0163558533439263	drugs_18	metagenomics_804
15	6	2	176	2.348085377775762	10.394293442670998	8.046208064895236	0.9711925765428179	drugs_6	metagenomics_176
16	20	3	60	0.4817892013868281	10.52720589084014	10.045416689453312	1.0492103425352315	drugs_20	proteomics_60
17	14	3	79	4.457920065305586	14.474996345311862	10.017076280006275	1.0422564374835586	drugs_14	proteomics_79
18	12	2	629	1.399411725186102	9.429493440373918	8.030081715187816	1.0045617951982688	drugs_12	metagenomics_629
19	6	2	821	-0.22123498366406213	7.815035779140399	8.036270762804461	1.0039239442660026	drugs_6	metagenomics_821
20	12	2	389	0.04992935152028544	8.180457983485098	8.130528631964813	1.009075758940221	drugs_12	metagenomics_389
21	5	2	364	1.333509102602723	9.33027492955349	7.996765826950766	1.0097055571859797	drugs_5	metagenomics_364
22	5	2	150	-0.03400582126186613	8.01899050001145	8.052996321273316	0.9738732599028284	drugs_5	metagenomics_150
23	17	3	197	-4.1359829524848095	5.857961856228227	9.993944808713037	1.0282896884490775	drugs_17	proteomics_197
24	7	2	262	-2.9512361628360466	5.131429297096194	8.08266545993224	1.048245241766748	drugs_7	metagenomics_262
25	8	3	146	0.8835114988206207	10.845686669019752	9.962175170199131	1.009740582919704	drugs_8	proteomics_146
26	14	2	502	0.2727824656602458	8.301103850614673	8.028321384954427	1.0124699490699092	drugs_14	metagenomics_502
27	8	3	178	-1.8122249206902712	8.162077379486057	9.974302300176328	1.0213267017206498	drugs_8	proteomics_178
28	14	2	197	3.1544297491007676	11.124319241064544	7.969889491963777	1.0263894475378248	drugs_14	metagenomics_197
29	13	3	86	0.2673289746544949	10.292079450184268	10.024750475529773	0.9520927876024179	drugs_13	proteomics_86
30	11	2	373	0.7320888115243616	8.761323766827031	8.02923495530267	0.9675988491798493	drugs_11	metagenomics_373
31	1	2	556	-0.5321696292159119	7.454037110593247	7.986206739809159	0.9961906217334282	drugs_1	metagenomics_556
32	19	2	763	-1.6036172435998894	6.467322138474706	8.070939382074595	0.9899315271866717	drugs_19	metagenomics_763
33	17	3	162	-0.7085085778738929	9.194825337663973	9.903333915537866	0.9808184631617771	drugs_17	proteomics_162
34	4	2	940	3.7231237733743097	11.774582284112046	8.051458510737737	1.0042351527652051	drugs_4	metagenomics_940
35	17	2	597	0.14116402381662319	8.08023107217471	7.939067048358087	0.9870013388323491	drugs_17	metagenomics_597
36	13	2	728	1.51309176417797	9.441854537588027	7.928762773410057	1.0015834271309711	drugs_13	metagenomics_728
37	14	2	173	0.8982465947136671	8.923508915742092	8.025262321028425	0.9761168352674969	drugs_14	metagenomics_173
38	7	2	569	0.7026641508205147	8.688856373856837	7.986192223036322	1.0244441524172951	drugs_7	metagenomics_569
39	12	3	98	-0.21844859350339085	9.750898307865368	9.969346901368759	0.9959645301900516	drugs_12	proteomics_98
40	15	2	181	0.9810235264482037	8.92431492816577	7.943291401717567	0.9796613126118596	drugs_15	metagenomics_181
41	2	3	127	2.5801611205441315	12.50626238317555	9.926101262631418	0.9873829634989204	drugs_2	proteomics_127
42	7	2	316	0.013366819165151256	8.02799242463071	8.01462560546556	1.0256039208184229	drugs_7	metagenomics_316
43	10	2	286	1.3348216875637586	9.352763544037524	8.017941856473765	0.999658907456867	drugs_10	metagenomics_286
44	17	2	432	-1.4657098111728555	6.581744971493087	8.047454782665943	0.9819855788057297	drugs_17	metagenomics_432
45	10	2	322	-1.1199454535897857	6.889569923320684	8.00951537691047	1.0148269110137484	drugs_10	metagenomics_322
46	17	3	94	-4.149826298905401	5.8318557593085245	9.981682058213925	0.9449170183095588	drugs_17	proteomics_94
47	7	3	22	-2.133579007932921	7.89285893110204	10.026437939034961	0.9473107049807483	drugs_7	proteomics_22
48	15	3	192	-4.4310342672420395	5.613173784420696	10.044208051662736	0.9959827650206041	drugs_15	proteomics_192
49	19	2	806	-1.478688319994264	6.523352494820012	8.002040814814276	1.042497598250538	drugs_19	metagenomics_806
50	8	3	139	0.868693554210374	10.902474574598934	10.03378102038856	0.9590129641900567	drugs_8	proteomics_139
51	7	2	308	-1.620992260014111	6.407582272855681	8.028574532869792	1.045114247092186	drugs_7	metagenomics_308
52	16	3	166	1.65371203904426	11.661305877026276	10.007593837982016	1.020356605575925	drugs_16	proteomics_166
53	14	3	13	1.3311027844446155	11.385768552271221	10.054665767826606	1.0293063802680658	drugs_14	proteomics_13
54	9	2	835	-2.8462374217501356	5.205894821208208	8.052132242958344	0.9741042165052689	drugs_9	metagenomics_835
55	7	2	142	1.123237748206316	9.160408549972477	8.03717080176616	1.0049140604568387	drugs_7	metagenomics_142
56	18	3	13	0.9119439563947225	11.125672321104647	10.213728364709924	1.0938115006643105	drugs_18	proteomics_13
57	9	2	512	-2.703499507015678	5.270396329157284	7.973895836172963	0.9921412959407715	drugs_9	metagenomics_512
58	13	2	108	1.001821712456083	9.037294839531011	8.035473127074928	0.9766633120787019	drugs_13	metagenomics_108
59	18	3	168	0.858582624957025	10.89590835661533	10.037325731658305	1.0067248254650198	drugs_18	proteomics_168
60	10	3	138	1.3724334187302993	11.393124729981075	10.020691311250776	1.0248780784859846	drugs_10	proteomics_138
61	9	3	146	0.4369499578157061	10.526661306714885	10.08971134889918	1.0518443709250878	drugs_9	proteomics_146
62	5	3	28	3.7686450666758518	14.161994132941695	10.393349066265843	1.579327010556967	drugs_5	proteomics_28
63	16	3	51	3.7069073284049203	13.642679926525535	9.935772598120614	0.95906755301727	drugs_16	proteomics_51
64	4	2	932	-0.22143730434557973	7.692069963887545	7.913507268233125	1.0399222333172242	drugs_4	metagenomics_932
65	16	3	176	-0.09445402431957106	9.878283312470735	9.972737336790306	1.030337071365173	drugs_16	proteomics_176
66	1	2	890	2.715817852545941	10.735403349307557	8.019585496761616	1.0568893499929763	drugs_1	metagenomics_890
67	13	2	932	-0.35364564453069214	7.537764907557544	7.891410552088236	1.0435361743665184	drugs_13	metagenomics_932
68	13	2	33	1.5832010749463201	9.63893085326878	8.05572977832246	1.019000217004915	drugs_13	metagenomics_33
69	6	3	1	-1.21753332135175	8.742867622715886	9.960400944067636	0.9765029315376307	drugs_6	proteomics_1
70	18	3	63	-2.028443545097412	8.003206211592017	10.03164975668943	0.9394454875730249	drugs_18	proteomics_63
71	9	2	692	0.5751279966649321	8.52703896940166	7.951910972736728	0.9552669130758826	drugs_9	metagenomics_692
72	15	2	717	-1.8069354868127032	6.214726825949031	8.021662312761734	0.9870399492991192	drugs_15	metagenomics_717
73	20	2	70	-2.5999721994363556	5.398554150374721	7.998526349811077	1.004050269992068	drugs_20	metagenomics_70
74	16	2	88	1.4377188247276873	9.480878320217801	8.043159495490114	1.060730925892535	drugs_16	metagenomics_88
75	19	3	67	-1.2703344125821108	8.763140450910134	10.033474863492245	0.9447160970362644	drugs_19	proteomics_67
76	5	2	858	2.4341478629257773	10.406934600888803	7.972786737963026	0.994957473873351	drugs_5	metagenomics_858
77	3	3	80	-1.5584066863972357	8.481025048441806	10.039431734839042	1.0614734737619111	drugs_3	proteomics_80
78	20	3	41	0.2852782362607389	10.26638400545253	9.98110576919179	0.9763961630885584	drugs_20	proteomics_41
79	4	2	320	0.8392881513793862	8.773237634962648	7.933949483583262	0.9848559552767949	drugs_4	metagenomics_320
80	4	3	29	-4.26241336067304	5.654657394367911	9.917070755040951	0.9951513258384964	drugs_4	proteomics_29
81	7	3	182	-0.0724013439377984	9.901506933446884	9.973908277384682	0.9695395891419589	drugs_7	proteomics_182
82	5	2	892	1.275923836259527	9.201650289945896	7.9257264536863685	1.0574506493530755	drugs_5	metagenomics_892
83	11	2	475	2.104479797849324	10.054181218302435	7.949701420453112	0.9955255451112771	drugs_11	metagenomics_475
84	14	2	591	2.1693237521587925	10.201282614387964	8.031958862229171	0.9337047332592863	drugs_14	metagenomics_591
85	10	3	155	-3.1241448459608323	6.912486402231543	10.036631248192375	0.9373328714887551	drugs_10	proteomics_155
86	10	2	146	2.569395796278358	10.51639643974847	7.947000643470113	0.9418067886478746	drugs_10	metagenomics_146
87	7	3	68	1.3552032665346694	11.420279635425823	10.065076368891154	1.010923078046525	drugs_7	proteomics_68
88	12	3	67	-1.3641517457503287	8.510531316169153	9.874683061919482	1.0512141842460287	drugs_12	proteomics_67
89	9	2	491	-0.8519987972351784	7.170921740001943	8.022920537237122	1.0036561256319303	drugs_9	metagenomics_491
90	8	2	305	-1.5066985113934317	6.553432654385234	8.060131165778666	0.989333211892269	drugs_8	metagenomics_305
91	4	3	114	-0.33857788950587775	9.649719424040201	9.988297313546079	0.9940248750289522	drugs_4	proteomics_114
92	2	2	100	0.6610369860575815	8.67939740215202	8.018360416094438	1.0646912122263361	drugs_2	metagenomics_100
93	10	3	187	-1.5248369976051492	8.51309292238003	10.03792991998518	0.9714394298574842	drugs_10	proteomics_187
94	8	2	897	2.087035454963927	10.081137912835125	7.994102457871198	0.9604827266945425	drugs_8	metagenomics_897
95	15	2	633	2.292894179987057	10.311445762895788	8.018551582908731	1.0927220714435149	drugs_15	metagenomics_633
96	11	2	414	1.9058836356975721	9.921890345058248	8.016006709360676	0.9695240867251341	drugs_11	metagenomics_414
97	15	3	39	0.6159388050684864	10.606739677332552	9.990800872264066	0.9801915192761119	drugs_15	proteomics_39
98	10	3	93	-0.31577441838010856	9.6514322195396	9.967206637919709	1.0037615859871116	drugs_10	proteomics_93
99	3	3	99	-0.38311239039680167	9.628061023982795	10.011173414379597	0.9603902792346083	drugs_3	proteomics_99
100	1	3	21	-1.7468318399987606	8.248933742773975	9.995765582772735	1.015028548494992	drugs_1	proteomics_21
101	14	2	195	1.002618497146119	8.990715284462656	7.988096787316537	0.9881159315286143	drugs_14	metagenomics_195
