feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
3	13	proteomics_4	metagenomics_9	random.continuous_basic.metagenomics	-0.2396
1	6	proteomics_2	metagenomics_2	random.continuous_basic.metagenomics	-0.187
2	0	proteomics_3	proteomics_1	random.continuous_basic.proteomics	-0.1736
0	2	proteomics_1	proteomics_3	random.continuous_basic.proteomics	-0.168
1	9	proteomics_2	metagenomics_5	random.continuous_basic.metagenomics	0.1306
1	10	proteomics_2	metagenomics_6	random.continuous_basic.metagenomics	0.0994
3	4	proteomics_4	proteomics_5	random.continuous_basic.proteomics	-0.0922
3	14	proteomics_4	metagenomics_10	random.continuous_basic.metagenomics	0.078
0	3	proteomics_1	proteomics_4	random.continuous_basic.proteomics	0.076
3	0	proteomics_4	proteomics_1	random.continuous_basic.proteomics	0.0654
0	13	proteomics_1	metagenomics_9	random.continuous_basic.metagenomics	0.0588
2	13	proteomics_3	metagenomics_9	random.continuous_basic.metagenomics	-0.0564
2	5	proteomics_3	metagenomics_1	random.continuous_basic.metagenomics	0.055
4	12	proteomics_5	metagenomics_8	random.continuous_basic.metagenomics	0.0536
2	14	proteomics_3	metagenomics_10	random.continuous_basic.metagenomics	0.0528
4	8	proteomics_5	metagenomics_4	random.continuous_basic.metagenomics	0.0526
2	4	proteomics_3	proteomics_5	random.continuous_basic.proteomics	0.0512
0	14	proteomics_1	metagenomics_10	random.continuous_basic.metagenomics	0.0504
1	4	proteomics_2	proteomics_5	random.continuous_basic.proteomics	-0.0494
4	10	proteomics_5	metagenomics_6	random.continuous_basic.metagenomics	0.0444
4	7	proteomics_5	metagenomics_3	random.continuous_basic.metagenomics	-0.0432
0	4	proteomics_1	proteomics_5	random.continuous_basic.proteomics	0.0422
3	2	proteomics_4	proteomics_3	random.continuous_basic.proteomics	-0.0416
3	7	proteomics_4	metagenomics_3	random.continuous_basic.metagenomics	0.0406
2	3	proteomics_3	proteomics_4	random.continuous_basic.proteomics	-0.0398
4	11	proteomics_5	metagenomics_7	random.continuous_basic.metagenomics	-0.0398
4	5	proteomics_5	metagenomics_1	random.continuous_basic.metagenomics	0.0384
4	14	proteomics_5	metagenomics_10	random.continuous_basic.metagenomics	-0.0368
2	7	proteomics_3	metagenomics_3	random.continuous_basic.metagenomics	0.0336
1	12	proteomics_2	metagenomics_8	random.continuous_basic.metagenomics	0.0322
4	6	proteomics_5	metagenomics_2	random.continuous_basic.metagenomics	-0.032
1	7	proteomics_2	metagenomics_3	random.continuous_basic.metagenomics	0.0318
4	1	proteomics_5	proteomics_2	random.continuous_basic.proteomics	-0.031
1	8	proteomics_2	metagenomics_4	random.continuous_basic.metagenomics	0.0306
1	11	proteomics_2	metagenomics_7	random.continuous_basic.metagenomics	0.0302
0	8	proteomics_1	metagenomics_4	random.continuous_basic.metagenomics	-0.0296
1	13	proteomics_2	metagenomics_9	random.continuous_basic.metagenomics	0.0294
0	12	proteomics_1	metagenomics_8	random.continuous_basic.metagenomics	-0.0286
