sample	random.continuous_basic.proteomics	random.continuous_basic.metagenomics
1	0.052944962	0.70896524
2	0.53265536	0.55604833
3	0.7416294	0.534782
4	0.82542014	0.7162729
5	0.49715614	0.5301904
6	0.8011884	0.53360206
7	0.26001927	0.6280898
8	0.7030677	0.3875964
9	0.7692959	0.7828439
10	0.88343036	0.81249243
11	0.7378805	0.4715902
12	0.6824766	0.6738447
13	0.68908143	0.9037175
14	0.18464719	0.42046046
15	0.3388256	0.39329657
16	0.30905965	0.86426204
17	0.16962522	-0.27467522
18	0.7395292	0.91449755
19	0.7255083	0.8221966
20	0.36715162	0.74255246
21	0.72131735	0.5447596
22	0.105471306	-0.008957625
23	-0.634561	0.32483536
24	0.39986876	0.5095054
25	0.21730784	0.85749483
26	0.3256273	0.8716556
27	0.44605324	0.53914773
28	0.7778841	0.54648954
29	0.44329637	0.6192279
30	0.4224124	0.5865044
31	-0.0914394	0.86143464
32	0.55187297	0.43160135
33	0.6631994	0.96148616
34	0.87632275	0.2649202
35	0.2887054	0.32212785
36	0.4391193	0.20369288
37	0.60812736	0.75479114
38	0.7679965	0.6817457
39	0.03475161	0.6328754
40	0.6422367	0.86233056
41	0.6181384	-0.5946642
42	0.7827366	0.4678066
43	0.646834	0.87454873
44	0.84209824	0.62446797
45	0.8279968	0.71348035
46	0.39659056	0.7027774
47	0.5068191	0.44479653
48	0.5379738	0.01934617
49	0.8701504	0.77768975
50	0.5486582	0.6000774
51	0.93913674	0.9031903
52	0.21968319	0.690362
53	0.20450798	0.6981367
54	0.41932094	0.93493605
55	-0.031183124	0.7375652
56	0.09928113	0.6915344
57	0.050053895	0.69278157
58	0.3691401	0.6859593
59	-0.15654255	0.110053465
60	0.26274654	0.7109749
61	0.03046461	0.16856247
62	0.090863414	0.7863616
63	0.40815526	0.84392923
64	-0.5736432	0.6239017
65	0.14626527	0.19030708
66	0.12294022	0.48477367
67	0.07680202	0.368864
68	0.867364	0.71849996
69	0.3969247	0.61608803
70	0.49019516	0.7973751
71	0.83974564	0.72494143
72	0.8651312	0.79557735
73	0.43686938	-0.06941675
74	0.71041405	0.5093578
75	0.1800227	-0.11819733
76	0.45971313	0.35431138
77	0.96007556	0.57505167
78	0.4544633	0.8877373
79	0.092387356	0.7856853
80	0.37511292	0.37943232
81	-0.37633437	0.57026434
82	0.32982126	0.8125671
83	0.7911267	0.9246993
84	0.8398242	0.6995473
85	0.09317642	0.8771661
86	0.8633947	0.720519
87	0.2138161	0.7903288
88	0.5257681	0.69753474
89	0.26992616	0.79863673
90	0.39931107	0.6814497
91	0.19802634	0.85541457
92	0.86103886	0.42643094
93	0.5079958	0.36204848
94	0.7781014	0.7661262
95	0.59551936	0.66343486
96	0.89662987	0.6620875
97	0.5448372	0.59924996
98	0.5539638	0.2767762
99	0.6150622	0.6426471
100	-0.23718983	0.8594495
101	0.6409369	0.23949319
102	0.95626175	0.8706911
103	-0.03346919	0.7075915
104	0.6454256	0.7102669
105	0.80824995	0.66254646
106	0.137834	0.6906016
107	0.6846679	0.67661387
108	0.40132058	0.86709917
109	0.37573794	0.31727216
110	0.17022316	0.5042105
111	0.49729055	0.6854202
112	-0.01586114	0.8872235
113	0.7129037	0.8908934
114	0.6951621	0.38180503
115	0.2622891	0.23841944
116	0.30972373	0.8259111
117	0.6064776	0.6778394
118	0.62687427	0.79623103
119	0.10086715	0.5079014
120	0.36215284	0.7423019
121	0.25719237	0.7801073
122	0.8237459	0.7976592
123	0.9106206	0.720723
124	0.9074985	0.95647895
125	0.78614235	0.6502323
126	0.75568736	0.6483011
127	0.15670678	0.37721056
128	0.20495704	0.8421081
129	0.13767198	0.8752677
130	-0.28770646	0.75494564
131	0.85510653	0.075962484
132	0.46277136	0.6561293
133	0.91751564	0.62914586
134	0.6420271	0.8460917
135	0.2689033	-0.067268975
136	0.47029755	0.5028337
137	0.7084029	0.6501767
138	-0.0726534	0.5901503
139	0.7463603	0.80915177
140	0.6816305	0.58976674
141	-0.097967714	0.82042927
142	0.76044947	0.18051542
143	0.6541127	0.46854827
144	0.355908	0.3295647
145	0.7834575	0.19151665
146	0.063167304	0.6860392
147	0.25047553	0.8504868
148	0.7319207	0.87495995
149	0.3786217	0.6770414
150	-0.71110517	0.5465795
151	-0.44488874	0.05653525
152	0.3945684	0.71752
153	0.21972886	0.38603956
154	0.170873	0.0769518
155	-0.0153032625	0.14186472
156	0.6992042	0.3120644
157	0.5848556	0.86236596
158	0.17007363	0.6374721
159	0.794376	0.81438017
160	0.53403133	0.2618758
161	0.7700532	0.55356526
162	0.7357841	0.71314836
163	0.5116285	0.7722339
164	0.8572414	0.7132029
165	0.8302706	0.63747233
166	0.29585886	0.6842864
167	0.41255337	0.24324551
168	0.31244504	0.7370368
169	0.68479526	0.6308534
170	0.6433939	0.65896255
171	0.030509949	0.3477536
172	0.5447656	0.39104837
173	0.6857683	0.55827147
174	0.90396804	0.84096354
175	0.5116505	0.6295393
176	0.8351507	0.41199076
177	0.5864079	0.6617588
178	0.757718	0.5287651
179	0.6239342	0.5020477
180	0.7501518	0.45764798
181	0.7456924	0.75907534
182	-0.020263135	0.7559431
183	0.6786457	0.7744791
184	0.35010922	0.4455009
185	0.09750922	0.73420006
186	0.9360911	0.789776
187	0.27242833	0.7706411
188	0.7058337	0.50926465
189	-0.13696481	0.7567283
190	0.04021591	0.7901818
191	0.5697765	0.7121544
192	-0.14972119	0.78474635
193	0.042573377	0.43730372
194	0.63871074	0.68069535
195	0.84841496	0.58154356
196	0.7783775	0.7668667
197	0.98539424	0.7838878
198	0.907631	0.68190944
199	0.883355	0.8888603
200	0.6450476	0.81491995
201	-0.17512403	-0.0778707
